SPA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
35256;Minister of Armament;Carlos Vergara Caillaux;1921;1926;1999;PA;Administrative Genius;Medium;unknownminister;X
35257;Minister of Armament;José Corral;1922;1927;1999;PA;Air to Sea Proponent;Medium;3234;X
35258;Minister of Security;Juan de la Cierva y Peñafiel;1905;1911;1999;ML;Compassionate Gentleman;Medium;3245;X
35259;Minister of Security;Segismundo Moret;1907;1912;1999;ML;Man of the People;Medium;3261;X
35260;Minister of Security;Fernando Merino Villarino;1908;1913;1999;ML;Prince of Terror;Medium;unknownminister;X
35261;Minister of Security;Demetrio Alonso Castrillo;1909;1913;1999;ML;Crime Fighter;Medium;3228;X
35262;Minister of Security;Trinitario Ruiz Valarino;1909;1913;1999;SL;Silent Lawyer;Medium;3263;X
35263;Minister of Security;Antonio Barroso Castillo;1909;1914;1999;ML;Back Stabber;Medium;3223;X
35264;Minister of Security;Santiago Alba Bonifaz;1910;1918;1999;ML;Efficient Sociopath;Medium;3257;X
35265;Minister of Security;José Sánchez-Guerra;1911;1919;1999;SC;Compassionate Gentleman;Medium;3272;X
35266;Minister of Security;Joaquín Ruiz Jiménez;1914;1919;1999;ML;Man of the People;Medium;3232;X
35267;Minister of Security;Julio Burell;1915;1919;1999;SC;Prince of Terror;Medium;3250;X
35268;Minister of Security;José Bahamonde;1915;1920;1999;SC;Crime Fighter;Medium;unknownminister;X
35269;Minister of Security;Manuel García-Prieto;1916;1920;1999;ML;Silent Lawyer;Medium;3269;X
35270;Minister of Security;Luis Silvela;1916;1920;1999;ML;Back Stabber;Medium;3971;X
35271;Minister of Security;Amalio Gimeno;1916;1921;1999;ML;Efficient Sociopath;Medium;3238;X
35272;Minister of Security;Antonio Goicoechea;1917;1921;1999;SC;Compassionate Gentleman;Medium;3295;X
35273;Minister of Security;Manuel de Burgos;1917;1921;1999;SC;Man of the People;Medium;3296;X
35274;Minister of Security;Joaquín Fernández Prida;1917;1922;1999;SC;Prince of Terror;Medium;3970;X
35275;Minister of Security;Francisco Bergamín;1918;1922;1999;SC;Crime Fighter;Medium;3255;X
35276;Minister of Security;Gabino Bugallal;1918;1923;1999;SC;Silent Lawyer;Medium;3284;X
35277;Minister of Security;Rafael Coello;1919;1924;1999;SC;Back Stabber;Medium;unknownminister;X
35278;Minister of Security;Vicente Piniés Bayona;1920;1924;1999;SC;Efficient Sociopath;Medium;3264;X
35279;Minister of Security;Martín de Rosales;1924;1925;1999;ML;Compassionate Gentleman;Medium;unknownminister;X
35280;Minister of Security;Severiano Martínez Anido;1921;1932;1999;PA;Man of the People;Medium;3297;X
35281;Chief of Staff;Fernando Primo de Rivera;1905;1919;1999;PA;School of Fire Support;Medium;3244;X
35282;Chief of Staff;Arsenio Linares;1907;1911;1999;SC;School of Manoeuvre;Medium;3226;X
35283;Chief of Staff;Agustín de Luque;1907;1919;1999;SC;School of Defence;Medium;3220;X
35284;Chief of Staff;Ángel Aznar;1908;1913;1999;SC;School of Psychology;Medium;3225;X
35285;Chief of Staff;Ramón Echagüe;1911;1917;1999;SC;School of Mass Combat;Medium;3259;X
35286;Chief of Staff;Francisco Aguilera;1915;1919;1999;SC;School of Fire Support;Medium;3243;X
35287;Chief of Staff;José Marina Vega;1915;1920;1999;SC;School of Manoeuvre;Medium;3240;X
35288;Chief of Staff;Dámaso Berenguer;1916;1917;1999;SC;School of Defence;Medium;3246;X
35289;Chief of Staff;Diego Muñoz Cobo;1917;1921;1999;PA;School of Psychology;Medium;unknownminister;X
35290;Chief of Staff;Luis de Santiago;1917;1921;1999;SC;School of Mass Combat;Medium;unknownminister;X
35291;Chief of Staff;Antonio Tovar;1917;1921;1999;SC;School of Fire Support;Medium;3972;X
35292;Chief of Staff;José Villalba Riquelme;1917;1922;1999;PA;School of Manoeuvre;Medium;3247;X
35293;Chief of Staff;José Olaguer-Feliú;1920;1924;1999;SC;School of Defence;Medium;unknownminister;X
35294;Chief of Staff;José Sánchez-Guerra;1920;1924;1999;SC;School of Psychology;Medium;3272;X
35295;Chief of Staff;Antonio López Muñoz;1921;1925;1999;ML;School of Mass Combat;Medium;3224;X
35296;Chief of Staff;Luis Bermúdez de Castro;1921;1926;1999;PA;School of Fire Support;Medium;3251;X
35297;Chief of Staff;Juan O'Donnell;1922;1928;1999;PA;School of Manoeuvre;Medium;unknownminister;X
35298;Chief of Army;Fernando Primo de Rivera;1905;1919;1999;PA;Guns and Butter Doctrine;Medium;3244;X
35299;Chief of Army;Arsenio Linares;1907;1911;1999;SC;Armoured Spearhead Doctrine;Medium;3226;X
35300;Chief of Army;Agustín de Luque;1907;1919;1999;SC;Decisive Battle Doctrine;Medium;3220;X
35301;Chief of Army;Ángel Aznar;1908;1913;1999;SC;Static Defence Doctrine;Medium;3225;X
35302;Chief of Army;Ramón Echagüe;1911;1917;1999;SC;Elastic Defence Doctrine;Medium;3259;X
35303;Chief of Army;Francisco Aguilera;1915;1919;1999;SC;Guns and Butter Doctrine;Medium;3243;X
35304;Chief of Army;José Marina Vega;1915;1920;1999;SC;Armoured Spearhead Doctrine;Medium;3240;X
35305;Chief of Army;Dámaso Berenguer;1916;1917;1999;SC;Decisive Battle Doctrine;Medium;3246;X
35306;Chief of Army;Diego Muñoz Cobo;1917;1921;1999;PA;Static Defence Doctrine;Medium;unknownminister;X
35307;Chief of Army;Luis de Santiago;1917;1921;1999;SC;Elastic Defence Doctrine;Medium;unknownminister;X
35308;Chief of Army;Antonio Tovar;1917;1921;1999;SC;Guns and Butter Doctrine;Medium;3972;X
35309;Chief of Army;José Villalba Riquelme;1917;1922;1999;PA;Armoured Spearhead Doctrine;Medium;3247;X
35310;Chief of Army;José Olaguer-Feliú;1920;1924;1999;SC;Decisive Battle Doctrine;Medium;unknownminister;X
35311;Chief of Army;José Sánchez-Guerra;1920;1924;1999;SC;Static Defence Doctrine;Medium;3272;X
35312;Chief of Army;Antonio López Muñoz;1921;1925;1999;ML;Elastic Defence Doctrine;Medium;3224;X
35313;Chief of Army;Luis Bermúdez de Castro;1921;1926;1999;PA;Guns and Butter Doctrine;Medium;3251;X
35314;Chief of Army;Juan O'Donnell;1922;1928;1999;PA;Armoured Spearhead Doctrine;Medium;unknownminister;X
35315;Chief of Navy;José Ferrándiz;1905;1911;1999;SC;Base Control Doctrine;Medium;3235;X
35316;Chief of Navy;Víctor María Concas;1907;1912;1999;SC;Open Seas Doctrine;Medium;3265;X
35317;Chief of Navy;Diego Arias de Miranda;1908;1913;1999;SC;Decisive Naval Battle Doctrine;Medium;3229;X
35318;Chief of Navy;José Pidal Rebollo;1909;1920;1999;SC;Power Projection Doctrine;Medium;3241;X
35319;Chief of Navy;Amalio Gimeno;1910;1920;1999;ML;Indirect Approach Doctrine;Medium;3238;X
35320;Chief of Navy;Augusto Miranda;1911;1922;1999;SC;Base Control Doctrine;Medium;3237;X
35321;Chief of Navy;Manuel de Flórez Carrió;1915;1922;1999;SC;Open Seas Doctrine;Medium;unknownminister;X
35322;Chief of Navy;José María Chacón Pery;1916;1921;1999;SC;Decisive Naval Battle Doctrine;Medium;3236;X
35323;Chief of Navy;José Rivera Álvarez-Camero;1920;1924;1999;SC;Power Projection Doctrine;Medium;unknownminister;X
35324;Chief of Navy;Gabriel Antón Iboleón;1921;1926;1999;PA;Indirect Approach Doctrine;Medium;unknownminister;X
35325;Chief of Navy;Federico Ibáñez Valera;1922;1926;1999;PA;Base Control Doctrine;Medium;unknownminister;X
35326;Chief of Navy;Ignacio Pintado Gough;1922;1926;1999;PA;Open Seas Doctrine;Medium;unknownminister;X
35327;Chief of Navy;Honorio Cornejo Carvajal;1922;1930;1999;PA;Decisive Naval Battle Doctrine;Medium;unknownminister;X
35328;Chief of Air Force;Pedro Vives Vich;1898;1915;1999;SC;Carpet Bombing Doctrine;Medium;3258;X
35329;Chief of Air Force;Alfredo Kindelán y Duany;1910;1932;1999;SC;Army Aviation Doctrine;Medium;3221;X
35330;Chief of Air Force;Alfonso Bayo;1913;1920;1999;SC;Air Superiority Doctrine;Medium;unknownminister;X
35331;Chief of Air Force;Rodriguez Moruelo;1916;1924;1999;SC;Naval Aviation Doctrine;Medium;unknownminister;X
35332;Chief of Air Force;Coronel Soriano;1920;1925;1999;SC;vertical envelopment doctrine;Medium;unknownminister;X
35333;Chief of Air Force;Francisco Echagüe;1917;1926;1999;SC;Carpet Bombing Doctrine;Medium;unknownminister;X
