GRE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
90266;Chief of Staff;Nikolaos Vlachopoulos;1922;1928;1929;SC;school of fire support;High;9789;X
90267;Chief of Staff;Petros Klados;1924;1925;1925;SC;school of defence;High;L31508;X
90268;Chief of Staff;Alexandros Mazarakis-Ainian;1924;1931;1937;SC;school of manoeuvre;High;9790;X
90269;Chief of Staff;Ptolemeos Sarigiannis;1925;1926;1927;SC;school of fire support;High;9791;X
90270;Chief of Staff;Alexandros Merentitis;1928;1929;1935;SC;school of defence;High;unknownminister;X
90271;Chief of Staff;Konstantinos Manetas;1931;1932;1936;SL;school of fire support;High;9792;X
90272;Chief of Staff;Theodoros Manetas;1931;1933;1936;SL;school of defence;High;9793;X
90273;Chief of Staff;Dimitrios Katheniotis;1933;1935;1936;SC;school of fire support;High;9794;X
90274;Chief of Staff;Konstantinos Pallas;1940;1941;1942;SC;school of defence;High;9795;X
90275;Chief of Staff;Napoleon Batas;1941;1942;1948;SC;school of fire support;High;9796;X
90276;Chief of Staff;Vasilios Maraveas;1942;1943;1948;SC;school of defence;High;9797;X
90277;Chief of Staff;Andreas Skoulas;1943;1944;1944;SC;school of fire support;High;9798;X
90278;Chief of Staff;Alkiviadis Bourdaras;1943;1944;1944;SC;school of defence;High;unknownminister;X
90279;Chief of Staff;Dimitrios Laios;1943;1944;1944;SC;school of fire support;High;9799;X
90280;Chief of Staff;Efstathios Liosis;1943;1944;1949;SC;school of defence;High;9800;X
90281;Chief of Staff;Konstantinos Ventiris;1944;1951;1952;SC;school of psychology;High;9801;X
90282;Chief of Staff;Georgios Dromazos;1945;1946;1947;SC;school of fire support;High;9802;X
