ITA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
25565;Minister of Armament;Vittorio Alfieri;1917;1919;1919;SC;Military Entrepreneur;Very High;alfieri_vittorio_ita;X
25566;Minister of Armament;Leone Viale;1914;1918;1918;SC;Battle Fleet Proponent;Very High;viale_leone_ita;X
25567;Minister of Armament;Camillo Corsi;1914;1921;1921;SC;Battle Fleet Proponent;Very High;corsi_camillo_ita;X
25568;Minister of Armament;Giovanni Sechi;1919;1932;1949;SC;Battle Fleet Proponent;Very High;sechi_giovanni_ita;X
25569;Minister of Armament;Alfredo Dallolio;1917;1932;1953;SC;Military Entrepreneur;Very High;dallolio_alfredo_ita;X
25570;Minister of Armament;Paolo Carcano;1914;1918;1918;ML;Laissez-Faire Capitalist;Very High;carcano_paolo_ita;X
25571;Minister of Armament;Marcello Soleri;1919;1932;1945;SD;Resource Industrialist;High;soleri_marcello_ita;X
25572;Minister of Armament;Leone Wollemborg;1914;1932;1932;SL;Laissez-Faire Capitalist;Very High;wollemborg_leone_ita;X
25573;Minister of Armament;Vito Volterra;1914;1932;1940;ML;Theoretical Scientist;Medium;volterra_vito_ita;X
25574;Minister of Armament;Antonio Graziadei;1914;1932;1954;LE;Resource Industrialist;Very High;graziadei_antonio_ita;X
25575;Minister of Armament;Antonio Gramsci;1918;1932;1938;LE;Administrative Genius;Very High;gramsci_antonio_ita;X
25576;Minister of Armament;Maffeo Pantaleoni;1914;1925;1925;FA;Laissez-Faire Capitalist;Very High;pantaleoni_maffeo_ita;X
25581;Minister of Security;Giovanni Giolitti;1914;1929;1929;ML;Crime Fighter;High;giolitti_giovanni_ita;X
25582;Minister of Security;Antonio Salandra;1914;1932;1932;SC;Efficient Sociopath;High;salandra_antonio_ita;X
25583;Minister of Security;Vittorio Emanuele Orlando;1914;1932;1953;ML;Back Stabber;High;orlando_vittorio_emanuele_ita;X
25584;Minister of Security;Francesco Saverio Nitti;1914;1932;1954;LWR;Man of the People;High;nitti_francesco_ita;X
25585;Minister of Security;Ivanoe Bonomi;1916;1932;1952;SD;Efficient Sociopath;High;bonomi_ivanoe_ww1_ita;X
25586;Minister of Security;Luigi Facta;1914;1931;1931;ML;Man of the People;High;facta_luigi_ita;X
25587;Minister of Security;Paolo Boselli;1914;1932;1932;SC;Silent Lawyer;Very High;boselli_paolo_ita;X
25588;Minister of Security;Sidney Sonnino;1914;1923;1923;SC;Back Stabber;Very High;sonnino_sidney_ita;X
25589;Minister of Security;Tommaso Tittoni;1914;1932;1932;SC;Silent Lawyer;Very High;tittoni_tommaso_ita;X
25590;Minister of Security;Benito Mussolini;1914;1932;1999;FA;Efficient Sociopath;Very High;mussolini_benito_ww1_ita;X
25591;Minister of Security;Filippo Turati;1914;1932;1932;LE;Man of the People;Medium;turati_filippo_ita;X
25592;Minister of Security;Paolo Thaon di Revel;1914;1933;1948;PA;Compassionate Gentleman;High;thaon_di_revel_paolo_ww1_ita;X
25593;Minister of Security;Enrico Millo;1914;1930;1930;FA;Prince of Terror;High;millo_enrico_ita;X
25601;Head of Military Intelligence;Eugenio De Rossi;1914;1921;1921;SC;Technical Specialist;Very High;de_rossi_eugenio_ita;X
25602;Head of Military Intelligence;Vincenzo Garioni;1914;1920;1920;SC;Logistics Specialist;Very High;garioni_vincenzo_ita;X
25603;Head of Military Intelligence;Felice de Chaurand;1914;1917;1917;SC;Logistics Specialist;Very High;de_chaurand_felice_ita;X
25604;Head of Military Intelligence;Rosolino Poggi;1914;1932;1932;SC;Dismal Enigma;Very High;unknownminister;X
25605;Head of Military Intelligence;Giovanni Garruccio;1915;1921;1921;SC;Political Specialist;Very High;garruccio_melis_giovanni_ita;X
25606;Head of Military Intelligence;Odoardo Marchetti;1917;1932;1999;SC;Dismal Enigma;Very High;unknownminister;X
25607;Head of Military Intelligence;Camillo Caleffi;1919;1932;1999;SC;Dismal Enigma;Very High;unknownminister;X
25608;Head of Military Intelligence;Attilio Vigevano;1921;1927;1927;SC;Dismal Enigma;Very High;unknownminister;X
25609;Head of Military Intelligence;Giovanni Giuriati;1914;1929;1929;FA;Logistics Specialist;Very High;giuriati_giovanni_ita;X
25610;Head of Military Intelligence;Bruno Fortichiari;1914;1932;1982;LE;Political Specialist;Medium;fortichiari_bruno_ita;X
25611;Chief of Staff;Luigi Cadorna;1914;1917;1929;SC;Stubborn Disciplinarian;Very High;cadorna_luigi_ita;X
25612;Chief of Staff;Armando Diaz;1915;1928;1928;SC;School of Psychology;Very High;diaz_armando_ita;X
25613;Chief of Staff;Pietro Badoglio;1919;1925;1958;SC;School of Defence;Very High;badoglio_pietro_ww1_ita;X
25614;Chief of Staff;Giuseppe Vaccari;1921;1927;1927;SC;School of Fire Support;Very High;vaccari_giuseppe_ita;X
25615;Chief of Staff;Emanuele Filiberto di Savoia-Aosta;1914;1932;1932;PA;School of Manoeuvre;Very High;emanuele_filiberto_ita;X
25616;Chief of Staff;Luigi Zuccari;1914;1932;1999;ML;School of Mass Combat;Very High;zuccari_luigi_ita;X
25617;Chief of Staff;Enrico Caviglia;1915;1925;1945;SC;School of Fire Support;Very High;caviglia_enrico_ww1_ita;X
25618;Chief of Staff;Luigi Capello;1914;1928;1928;LWR;School of Mass Combat;Very High;capello_luigi_ita;X
25619;Chief of Staff;Alberto Pollio;1908;1915;1915;SC;School of Fire Support;Very High;pollio_alberto_ita;X
25620;Chief of Staff;Settimio Piacentini;1914;1921;1921;SC;School of Defence;Very High;piacentini_settimio_ita;X
25621;Chief of Army;Luigi Cadorna;1914;1917;1929;SC;Decisive Battle Doctrine;Very High;cadorna_luigi_ita;X
25622;Chief of Army;Armando Diaz;1915;1928;1928;SC;Guns and Butter Doctrine;Very High;diaz_armando_ita;X
25623;Chief of Army;Pietro Badoglio;1919;1925;1958;SC;Static Defence Doctrine;Very High;badoglio_pietro_ww1_ita;X
25624;Chief of Army;Giuseppe Vaccari;1921;1927;1927;SC;Decisive Battle Doctrine;Very High;vaccari_giuseppe_ita;X
25625;Chief of Army;Emanuele Filiberto di Savoia-Aosta;1914;1932;1932;PA;Static Defence Doctrine;Very High;emanuele_filiberto_ita;X
25626;Chief of Army;Luigi Zuccari;1914;1926;1926;SC;Guns and Butter Doctrine;Very High;zuccari_luigi_ita;X
25627;Chief of Army;Enrico Caviglia;1915;1925;1945;SC;Decisive Battle Doctrine;Very High;caviglia_enrico_ww1_ita;X
25628;Chief of Army;Luigi Capello;1914;1928;1928;LWR;Decisive Battle Doctrine;Very High;capello_luigi_ita;X
25629;Chief of Army;Alberto Pollio;1908;1915;1915;SC;Guns and Butter Doctrine;Very High;pollio_alberto_ita;X
25630;Chief of Army;Settimio Piacentini;1914;1921;1921;SC;Static Defence Doctrine;Very High;piacentini_settimio_ita;X
25631;Chief of Navy;Paolo Thaon di Revel;1914;1925;1948;PA;Indirect Approach Doctrine;High;thaon_di_revel_paolo_ww1_ita;X
25632;Chief of Navy;Luigi Amedeo di Savoia-Aosta;1914;1920;1933;PA;Decisive Naval Battle Doctrine;Very High;luigi_amedeo_ita;X
25633;Chief of Navy;Camillo Corsi;1914;1922;1922;SC;Base Control Doctrine;Very High;corsi_camillo_ita;X
25634;Chief of Navy;Alfredo Acton;1917;1928;1928;SC;Power Projection Doctrine;Very High;acton_alfredo_ita;X
25635;Chief of Navy;Luigi Rizzo;1914;1932;1951;FA;Indirect Approach Doctrine;Very High;rizzo_luigi_ww1_ita;X
25641;Chief of Air Force;Maurizio Moris;1914;1932;1945;SC;Army Aviation Doctrine;High;moris_maurizio_ita;X
25642;Chief of Air Force;Mario Calderara;1914;1925;1925;SC;Naval Aviation Doctrine;Very High;calderara_mario_ita;X
25643;Chief of Air Force;Giulio Douhet;1914;1931;1931;SC;Carpet Bombing Doctrine;Very High;douhet_giulio_ita;X
27644;Chief of Air Force;Luigi Bongiovanni;1918;1925;1925;SC;Air Superiority Doctrine;Very High;bongiovanni_luigi_ita;X
27645;Chief of Air Force;Amedeo De Siebert;1920;1932;1932;SC;Air Superiority Doctrine;Very High;de_siebert_amedeo_ita;X
27646;Chief of Air Force;Pier Ruggero Piccio;1923;1932;1934;SC;Army Aviation Doctrine;Very High;piccio_pier_ruggero_ww1_ita;X
25647;Chief of Air Force;Gabriele D'Annunzio;1914;1932;1939;FA;Vertical Envelopment Doctrine;Very High;d'annunzio_gabriele_ita;X
27648;Chief of Air Force;Giovanni Battista Marieni;1915;1921;1933;SC;Air Superiority Doctrine;Very High;marieni_giovanni_ita;X
27649;Chief of Air Force;Ernesto Cabruna;1914;1932;1960;FA;Air Superiority Doctrine;Very High;cabruna_ernesto_ita;X
25650;Chief of Staff;Sante Ceccherini;1914;1932;1932;FA;School of Mass Combat;Very High;ceccherini_sante_ita;X
25651;Chief of Army;Corrado Tamajo;1914;1932;1960;FA;Guns and Butter Doctrine;Very High;tamajo_corrado_ita;X
25901;Head of State;Vittorio Emanuele II;1850;1870;1870;SC;Stern Imperialist;High;1866_vittorio;X
25902;Head of Government;Bettino Ricasoli;1850;1870;1870;SC;Silent Workhorse;High;1866_ricasoli;X
25903;Foreign Minister;Emilio Visconti Venosta;1850;1870;1870;SC;Apologetic Clerk;Very High;1866_venosta;X
25904;Minister of Armament;Ignazio De Genova di Pettinengo;1850;1870;1870;SC;Military Entrepreneur;Very High;1866_pettinengo;X
25905;Minister of Security;Bettino Ricasoli;1850;1870;1870;SC;Prince of Terror;Very High;1866_ricasoli;X
25906;Head of Military Intelligence;Edoardo Driquet;1850;1870;1870;SC;Logistics Specialist;High;1866_driquet;X
25907;Chief of Staff;Vittorio Emanuele II;1850;1870;1870;SC;School of Mass Combat;Medium;1866_vittorio;X
25908;Chief of Army;Alfonso La Marmora;1850;1870;1870;SC;Decisive Battle Doctrine;Medium;1866_lamarmora;X
25909;Chief of Navy;Agostino Depretis;1850;1870;1870;SC;Base Control Doctrine;Medium;1866_depretis;X
