FRA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
5275;Foreign Minister;Philippe Pétain;1916;1936;1999;PA;General Staffer;High;2572;X
5276;Foreign Minister;Alexandre Ribot;1917;1936;1999;ML;Biased Intellectual;Very High;2593;X
5277;Foreign Minister;Louis Barthou;1917;1935;1999;SL;Ideological Crusader;Very High;2594;X
5278;Foreign Minister;Alexandre Millerand;1917;1936;1999;SD;iron fisted brute;Very High;2595;X
5279;Foreign Minister;Georges Leygues;1920;1936;1999;SD;Great Compromiser;Very High;2596;X
5280;Foreign Minister;Edmond Lefebvre du Prey;1924;1936;1999;SL;Apologetic Clerk;Very High;2597;X
5281;Foreign Minister;Édouard Herriot;1924;1936;1999;SL;Great Compromiser;Very High;2598;X
5282;Head of Government;Alexandre Ribot;1914;1936;1999;ML;Silent Workhorse;High;2593;X
5283;Head of Government;Aristide Briand;1914;1936;1999;SD;Silent Workhorse;High;2592;X
5284;Head of Government;Ernest Monis;1914;1936;1999;LWR;Political Protege;Very High;2599;X
5285;Head of Government;Ferdinand Foch;1914;1929;1999;FA;Old General;High;2569;X
5286;Head of Government;Gaston Doumergue;1914;1936;1999;SD;Happy Amateur;High;2583;X
5287;Head of Government;Georges Clemenceau;1914;1936;1999;SL;The Tiger;High;2600;X
5288;Head of Government;Joseph Caillaux;1914;1936;1999;LWR;Naive Optimist;Very High;2601;X
5289;Head of Government;Louis Barthou;1914;1935;1999;SL;Silent Workhorse;Very High;2594;X
5290;Head of Government;Marcel Cachin;1914;1936;1999;ST;Ambitious Union Boss;High;2602;X
5291;Head of Government;Raymond Poincaré;1914;1936;1999;ML;Flamboyant Tough Guy;High;2588;X
5292;Head of Government;René Viviani;1914;1936;1999;SD;Political Protege;High;2589;X
5293;Head of Government;Philippe Pétain;1916;1936;1999;PA;Old General;High;2572;X
5294;Head of Government;Paul Painlevé;1917;1936;1999;SD;Silent Workhorse;High;2603;X
5295;Head of Government;Alexandre Millerand;1917;1936;1999;SD;Silent Workhorse;High;2595;X
5296;Head of Government;Georges Leygues;1920;1936;1999;SD;Ambitious Union Boss;High;2596;X
5297;Head of Government;Édouard Herriot;1924;1936;1999;SL;Political Protege;High;2598;X
5298;Head of Government;Frédéric François-Marsal;1924;1936;1999;SL;Political Protege;High;2604;X
5299;Head of Military Intelligence;Georges Ladoux;1914;1936;1999;ML;Dismal Enigma;Very High;2605;X
5300;Head of Military Intelligence;S. Mineff;1914;1936;1999;ST;Political Specialist;High;unknownminister;X
5301;Head of State;Jules Méline;1914;1936;1999;SL;Benevolent Gentleman;Very High;2606;X
5302;Head of State;Jules Pams;1914;1936;1999;SL;Benevolent Gentleman;Very High;2607;X
5303;Head of State;Louis Frossard;1914;1936;1999;ST;Die-hard Reformer;High;unknownminister;X
5304;Head of State;Louis Lyautey;1914;1936;1999;PA;Stern Imperialist;High;2608;X
5305;Head of State;Paul Doumer;1914;1936;1999;SD;Die-hard Reformer;Very High;2609;X
5306;Head of State;Philippe VIII;1914;1926;1999;SC;Autocratic Charmer;Very High;2610;X
5307;Head of State;Raymond Poincaré;1914;1936;1999;ML;Autocratic Charmer;High;2588;X
5308;Head of State;Philippe Pétain;1916;1936;1999;PA;Resigned Generalissimo;High;2572;X
5309;Head of State;Alexandre Millerand;1917;1936;1999;SD;Die-hard Reformer;High;2595;X
5310;Head of State;Charles Jonnart;1920;1936;1999;SD;Insignificant Layman;High;2581;X
5311;Head of State;Georges Clemenceau;1917;1936;1999;SL;Die-hard Reformer;High;2600;X
5312;Head of State;Gustave Delory;1920;1936;1999;LWR;Die-hard Reformer;High;2611;X
5313;Head of State;Paul Deschanel;1917;1920;1999;ML;Barking Buffoon;High;2612;X
5314;Head of State;Gaston Doumergue;1914;1936;1999;SD;Insignificant Layman;High;2583;X
5315;Head of State;Paul Painlevé;1924;1936;1999;SD;Benevolent Gentleman;High;2603;X
5316;Head of State;Zéphyrin Camelinat;1924;1936;1999;ST;Benevolent Gentleman;High;2613;X
5317;Minister of Armament;Alexandre Ribot;1914;1936;1999;ML;Laissez-Faire Capitalist;Very High;2593;X
5318;Minister of Armament;Auguste Dubail;1914;1936;1999;FA;Infantry Proponent;Very High;2567;X
5319;Minister of Armament;Charles Dumont;1914;1936;1999;LWR;Administrative Genius;Very High;2614;X
5320;Minister of Armament;Étienne Clémentel;1914;1936;1999;SL;Resource Industrialist;Very High;2615;X
5321;Minister of Armament;Joseph Caillaux;1914;1936;1999;LWR;Resource Industrialist;High;2601;X
5322;Minister of Armament;Joseph Noullens;1914;1936;1999;SD;Resource Industrialist;Very High;3782;X
5323;Minister of Armament;Louis-Lucien Klotz;1914;1936;1999;LWR;Corrupt Kleptocrat;Very High;2616;X
5324;Minister of Armament;Marcel Cachin;1914;1936;1999;ST;Planned economy proponent;Very High;2602;X
5325;Minister of Armament;Paul Peytral;1914;1936;1999;SL;Laissez-Faire Capitalist;Very High;2617;X
5326;Minister of Armament;Raymond Poincaré;1914;1936;1999;ML;Laissez-Faire Capitalist;Very High;2588;X
5327;Minister of Armament;René Renoult;1914;1936;1999;SD;Resource Industrialist;Very High;2618;X
5328;Minister of Armament;Joseph Gallieni;1915;1936;1999;ML;Infantry Proponent;Very High;2619;X
5329;Minister of Armament;Albert Thomas;1916;1936;1999;ML;Military Entrepreneur;Very High;2620;X
5330;Minister of Armament;Louis Malvy;1916;1936;1999;LWR;Resource Industrialist;Very High;2621;X
5331;Minister of Armament;Joseph Thierry;1917;1936;1999;SL;Laissez-Faire Capitalist;Very High;2622;X
5332;Minister of Armament;Frédéric François-Marsal;1917;1936;1999;SL;Resource Industrialist;Very High;2604;X
5333;Minister of Armament;Paul Doumer;1921;1936;1999;SD;Administrative Genius;Very High;2609;X
5334;Minister of Armament;Charles de Lasteyrie;1922;1936;1999;ML;Laissez-Faire Capitalist;Very High;2623;X
5335;Minister of Security;Alfred Rosmer;1914;1936;1999;ST;Back Stabber;Medium;2624;X
5336;Minister of Security;Aristide Briand;1914;1936;1999;SD;Compassionate Gentleman;Very High;2592;X
5337;Minister of Security;Charles Mangin;1914;1936;1999;PA;Efficient Sociopath;High;2625;X
5338;Minister of Security;Ernest Monis;1914;1936;1999;LWR;Silent Lawyer;Very High;2599;X
5339;Minister of Security;Eugène Étienne;1914;1936;1999;LWR;Silent Lawyer;Very High;2626;X
5340;Minister of Armament;Georges Clemenceau;1914;1936;1999;SL;military entrepreneur;Very High;2600;X
5341;Minister of Security;Jean Jaurès;1914;1915;1999;SD;Man of the People;Medium;2627;X
5342;Minister of Security;Louis Barthou;1914;1935;1999;SL;Silent Lawyer;Very High;2594;X
5343;Minister of Security;Louis Malvy;1914;1936;1999;LWR;Silent Lawyer;Very High;2621;X
5344;Minister of Security;Louis-Lucien Klotz;1914;1936;1999;LWR;Compassionate Gentleman;Very High;2616;X
5345;Minister of Security;Paul Peytral;1914;1936;1999;SL;Compassionate Gentleman;Very High;2617;X
5346;Minister of Security;René Renoult;1914;1936;1999;SD;Man of the People;High;2618;X
5347;Minister of Security;Théodore Steeg;1914;1936;1999;LWR;Man of the People;Very High;2628;X
5348;Minister of Security;Joseph Caillaux;1916;1936;1999;LWR;Compassionate Gentleman;High;2601;X
5349;Minister of Security;Jules Pams;1917;1936;1999;SL;Crime Fighter;Very High;2607;X
5350;Minister of Security;Pierre Marraud;1921;1936;1999;SD;Man of the People;Very High;3783;X
5351;Minister of Security;Maurice Maunoury;1922;1936;1999;SL;Silent Lawyer;Very High;2629;X
5352;Minister of Security;Camille Chautemps;1924;1936;1999;SL;Man of the People;Very High;2630;X
5353;Minister of Security;Justin de Selves;1924;1936;1999;SL;Crime Fighter;Very High;2585;X
5354;Head of Military Intelligence;Charles Joseph Dupont;1913;1936;1999;SL;Technical Specialist;High;2631;X
5355;Minister of Security;Xavier Vallat;1937;1964;1999;NS;Back Stabber;Low;6082;x
5356;Chief of Staff;Xavier Vallat;1941;1964;1999;NS;School of Defence;Low;6082;x
5357;Foreign Minister;Jean Fontenoy;1939;1964;1999;FA;Ideological Crusader;Medium;6109;x
5358;Foreign Minister;Charles Maurras;1930;1964;1999;FA;Biased Intellectual;Very High;6110;x
5359;Minister of Security;Jean Fontenoy;1942;1964;1999;FA;Man of the People;Medium;6109;x 
5360;Minister of Security;Jean-Marie Le Pen;1956;1964;1999;FA;Prince of Terror;High;6111;x
5361;Minister of Security;Rene Binet;1945;1964;1999;FA;Prince of Terror;Medium;6112;x
5362;Chief of Staff;Rene Binet;1946;1964;1999;FA;School of Psychology;Medium;6112;x
5363;Chief of Staff;Eugène Deloncle;1933;1964;1999;FA;School of Fire Support;Medium;6113;x
5364;Foreign Minister;Eugène Deloncle;1939;1964;1999;FA;General Staffer;Medium;6113;x
5365;Minister of Armament;Renault Louis;1940;1964;1999;PA;Steel magnate;Medium;8531;x
5366;Foreign Minister;Robert Brasillach;1940;1964;1999;NS;Biased Intellectual;High;6015;x
5367;Foreign Minister;Lucien Rebatet;1942;1964;1999;NS;The Cloak N Dagger Schemer;Medium;5785;x
5368;Foreign Minister;Maurice Pujo;1930;1964;1999;FA;The Cloak N Dagger Schemer;Medium;6017;x
5369;Minister of Security;Thierry Maulnier;1940;1964;1999;FA;Prince of Terror;Medium;6018;x
5370;Chief of Army;André Bayle;1950;1964;1999;SC;Elastic Defence Doctrine;High;6019;x
5371;Chief of Army;André Bayle;1950;1964;1999;PA;Elastic Defence Doctrine;High;6019;x
5372;Minister of Armament;Alexandre Millerand;1914;1936;1999;SD;resource industrialist;Very High;2595;X
5373;Chief of Navy;Louis Pivet;1914;1920;1999;SL;Open Seas Doctrine;High;8018;X
5374;Chief of Air Force;Auguste Edouard Hirschauer;1914;1936;1999;SL;Air Superiority Doctrine;High;8019;X
5375;Chief of Navy;Jean-Marie Charles Abrial;1924;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;7765;x
5376;Chief of Navy;Jean Decoux;1938;1964;1999;NS;Indirect Approach Doctrine;High;7766;x
5377;Chief of Navy;Charles Platon;1940;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;7767;x
5378;Minister of Security;Jean Decoux;1941;1964;1999;NS;Crime Fighter;Medium;7766;x
5379;Minister of Armament;Pierre Étienne Flandin;1931;1936;1999;SL;Resource Industrialist;Very High;M2003;X
5380;Head of State;Jean Hennessy;1924;1936;1999;SD;Benevolent Gentleman;High;unknownminister;X
5381;Head of Government;Eugène Deloncle;1924;1964;1999;FA;Flamboyant Tough Guy;Medium;6113;x
5382;Minister of Armament;Louis Germain-Martin;1914;1964;1999;SD;Resource Industrialist;Medium;M2079;X
5383;Head of State;Jean III;1926;1940;1999;SC;Autocratic Charmer;Very High;unknownminister;X
5384;Chief of Army;Edmond Buat;1914;1924;1999;ML;Decisive Battle Doctrine;Very High;2579;X
5385;Chief of Navy;Pierre Ronarc'h;1919;1921;1999;ML;Decisive Naval Battle Doctrine;Very High;9717;X
5386;Chief of Navy;Henri Salaun;1920;1928;1999;ML;Decisive Naval Battle Doctrine;Very High;9718;X
5387;Chief of Navy;Maurice Grasset;1921;1936;1999;ML;Decisive Naval Battle Doctrine;Very High;9720;X
5388;Chief of Navy;Louis Violette;1928;1936;1999;ML;Decisive Naval Battle Doctrine;Very High;9721;X
5389;Chief of Air Force;Laurent Eynac;1928;1936;1999;ML;Army Aviation Doctrine;Very High;unknownminister;X
5390;Chief of Air Force;Paul Painlevé;1930;1933;1999;ML;Army Aviation Doctrine;Very High;2603;X
5391;Chief of Air Force;Jacques-Louis Dumesnil;1931;1936;1999;ML;Army Aviation Doctrine;Very High;9719;X
5015;Head of State;Jean de Bourbon;1940;1964;1999;PA;Benevolent Gentleman;High;M2032;X
5392;Chief of Army;Louis Franchet d'Espèrey;1924;1936;1999;PA;Elastic Defence Doctrine;Very High;2587;X
5393;Minister of Armament;Marcel Deat;1938;1964;1999;FA;Laissez-Faire Capitalist;High;M2183;X
5394;Head of Government;Charles Maurras;1930;1952;1999;FA;Happy Amateur;Very High;6110;x
5395;Head of Military Intelligence;Marie Louis Koëltz;1931;1935;1947;SL;Logistics Specialist;Medium;9289;X
5396;Head of Military Intelligence;Maurice Henri Gauche;1933;1940;1947;SL;Logistics Specialist;Medium;9290;X
5397;Chief of Navy;Georges Durand-Viel;1931;1937;1938;ML;Open Seas Doctrine;Very High;9708;X
5398;Chief of Navy;Ferdinand Jean Jacques de Bon;1916;1920;1924;ML;Decisive Naval Battle Doctrine;Very High;9716;X
5399;Head of Military Intelligence;Raoul Albert Louis Salan;1941;1944;1961;SL;Logistics Specialist;Low;L24135;X
