ENG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
10277;Head of Military Intelligence;James Alfred Ewing;1915;1920;1999;SC;dismal enigma;Medium;9367;X
10278;Head of Military Intelligence;William Milbourne James;1915;1922;1999;SC;dismal enigma;Medium;9400;X
10279;Head of Military Intelligence;Alastair Denniston;1917;1933;1999;SC;logistics specialist;Medium;9326;X
10280;Chief of Staff;Neville Lyttelton;1902;1912;1999;SC;school of fire support;Medium;9383;X
10281;Chief of Staff;William Nicholson;1906;1916;1999;SC;school of manoeuvre;Medium;9397;X
10282;Chief of Staff;John French;1910;1918;1999;SC;school of defence;Medium;9372;X
10283;Chief of Staff;Charles Douglas;1912;1915;1999;SC;school of psychology;Medium;9337;X
10284;Chief of Staff;James Wolfe-Murray;1912;1919;1999;SC;school of mass combat;Medium;9369;X
10285;Chief of Staff;Archibald Murray;1913;1919;1999;SC;school of fire support;Medium;9331;X
10286;Chief of Staff;William Robertson;1913;1922;1999;SC;school of manoeuvre;Medium;9402;X
10287;Chief of Staff;Henry Wilson;1916;1926;1999;SC;school of defence;Medium;9362;X
10288;Chief of Staff;Frederick Rudolph Lambart;1920;1930;1999;SC;school of mass combat;Medium;9354;X
10289;Chief of Army;James Grierson;1902;1910;1999;SC;guns and butter doctrine;Medium;9368;X
10290;Chief of Army;John Ewart;1904;1914;1999;SC;armoured spearhead doctrine;Medium;unknownminister;X
10291;Chief of Army;Henry Wilson;1907;1918;1999;SC;decisive battle doctrine;Medium;9362;X
10292;Chief of Army;Charles Callwell;1912;1919;1999;SC;static defence doctrine;Medium;9640;X
10293;Chief of Army;Frederick Maurice;1913;1922;1999;SC;elastic defence doctrine;Medium;9352;X
10294;Chief of Army;Percy Radcliffe;1916;1926;1999;SC;armoured spearhead doctrine;Medium;9641;X
10295;Chief of Army;William Thwaites;1920;1926;1999;SC;Doctrine of autonomy;Medium;9639;X
10296;Chief of Army;John Burnett-Stuart;1920;1930;1999;SC;guns and butter doctrine;Medium;9642;X
10297;Chief of Navy;John Arbuthnot Fisher;1902;1919;1999;SC;base control doctrine;Medium;9370;X
10298;Chief of Navy;Arthur Knyvet Wilson;1908;1915;1999;SC;open seas doctrine;Medium;9334;X
10299;Chief of Navy;Francis Bridgeman;1909;1916;1999;SC;decisive naval battle doctrine;Medium;9351;X
10300;Chief of Navy;Louis of Battenberg;1910;1918;1999;SC;power projection doctrine;Medium;9379;X
10301;Chief of Navy;Henry Jackson ;1913;1920;1999;SC;indirect approach doctrine;Medium;2450;X
10302;Chief of Navy;John Jellicoe;1914;1921;1999;SC;base control doctrine;Medium;9373;X
10303;Chief of Navy;Rosslyn Wemyss;1915;1923;1999;SC;open seas doctrine;Medium;9389;X
10304;Chief of Navy;David Beatty;1917;1931;1999;SC;decisive naval battle doctrine;Medium;9340;X
10305;Chief of Air Force;David Henderson;1912;1920;1999;SC;army aviation doctrine;Medium;9341;X
10306;Chief of Air Force;Frederick Sykes;1912;1922;1999;SC;air superiority doctrine;Medium;9355;X
10307;Chief of Air Force;Hugh Trenchard;1912;1933;1999;SC;vertical envelopment doctrine;Medium;9366;X
10308;Chief of Air Force;John Salmond;1916;1934;1999;SC;army aviation doctrine;Medium;9375;X
10309;Chief of Air Force;Edward Leonard Ellington;1916;1920;1999;SC;army aviation doctrine;Medium;7814;X
10310;Chief of Air Force;Alexander Bannerman;1911;1915;1999;SC;carpet bombing doctrine;Medium;9327;X
10311;Chief of Air Force;Charles Rumney Samson;1910;1916;1999;SC;naval aviation doctrine;Medium;9339;X
10312;Chief of Air Force;Murray Sueter;1910;1918;1999;SC;vertical envelopment doctrine;Medium;9381;X
10313;Chief of Air Force;Charles Vaughan-Lee;1913;1920;1999;SC;carpet bombing doctrine;Medium;3749;X
10314;Chief of Air Force;Godfrey Paine;1915;1921;1999;SC;air superiority doctrine;Medium;9359;X
10315;Head of Government;R.B.D. Blakeney;1926;1932;1999;FA;Flamboyant Tough Guy;High;unknownminister;X
10316;Head of Government;Arnold Spencer Leese;1931;1936;1999;NS;Flamboyant Tough Guy;High;6010;X
10317;Head of Government;Enoch Powell;1950;1964;1999;PA;Political Protege;high;6011;x
10318;Head of Government;William Adamson;1917;1922;1999;SL;Naive Optimist;High;9395;x
10319;Head of Government;J. R. Clynes;1921;1937;1999;SL;Naive Optimist;High;9374;x
10320;Foreign Minister;Arnold Spencer Leese;1929;1964;1999;NS;The Cloak N Dagger Schemer;Medium;6010;x
10321;Foreign Minister;Harold George Nicolson;1931;1934;1999;PA;Great Compromiser;Very High;6014;x
10322;Foreign Minister;Harold George Nicolson;1935;1964;1999;SC;Great Compromiser;Very High;6014;x
10323;Foreign Minister;John Simon;1933;1964;1999;SC;The Cloak N Dagger Schemer;High;3809;X
10324;Foreign Minister;Arthur Henderson;1927;1933;1999;SD;The Cloak N Dagger Schemer;Very High;9333;X
10325;Minister of Armament;Montagu Collet Norman;1933;1964;1999;FA;Laissez-Faire Capitalist;medium;6012;x
10326;Minister of Armament;Montagu Collet Norman;1933;1964;1999;PA;Laissez-Faire Capitalist;medium;6012;x
10327;Minister of Security;William Joyce;1931;1946;1999;FA;Man of the People;Medium;M1013;X
10328;Minister of Security;Henry Hamilton Beamish;1931;1946;1999;NS;Man of the People;Medium;unknownminister;X
10329;Minister of Security;John Gilmour;1925;1940;1999;SL;Compassionate Gentleman;High;8140;
10330;Minister of Security;J. R. Clynes;1925;1933;1999;SL;Compassionate Gentleman;High;9374;X
10331;Head of Military Intelligence;Enoch Powell;1946;1964;1999;SC;Political Specialist;high;6011;x
10332;Chief of Staff;George Milne;1925;1933;1999;ML;school of defence;High;9358;X
10333;Chief of Staff;Colin Mcvean Gubbins;1940;1964;1999;SC;School of Mass Combat;High;6013;x
10334;Chief of Navy;Charles Madden;1925;1933;1999;ML;Decisive Naval Battle Doctrine;High;9338;X
10335;Chief of Navy;Frederick Field;1928;1933;1999;ML;Decisive Naval Battle Doctrine;High;9353;X
10336;Head of State;Tom Mann;1914;1933;1999;LE;Die-hard Reformer;High;2475;X
10337;Head of Government;Tom Mann;1914;1933;1999;LE;Political Protege;High;2457;X
10338;Head of Government;Harry Pollitt;1914;1933;1999;LE;Political Protege;High;2457;X
10339;Foreign Minister;Norman Angell;1914;1933;1999;LWR;Apologetic Clerk;Low;2458;X
10340;Foreign Minister;Harry Pollitt;1914;1933;1999;LE;Ideological Crusader;Very High;2457;X
10341;Minister of Armament;John Burns;1914;1933;1999;LWR;Resource Industrialist;High;2480;X
10342;Minister of Armament;Shapurji Saklatvala;1914;1933;1999;LE;Theoretical Scientist;Medium;2481;X
10343;Minister of Security;Arthur Horner;1940;1964;1999;LE;Health and safety;Medium;M1076;X
10344;Minister of Security;Charles Trevelyan;1914;1933;1999;LWR;Silent Lawyer;High;2492;X
10345;Minister of Security;Tom Mann;1914;1933;1999;LE;Crime Fighter;Medium;2475;X
10346;Head of Military Intelligence;William Gallacher;1914;1933;1999;LE;Political Specialist;High;3752;X
10347;Chief of Staff;Emanuel Shinwell;1922;1964;1999;LWR;School of Mass Combat;High;M1185;X
10348;Chief of Army;Emanuel Shinwell;1922;1964;1999;LWR;static defence doctrine;High;M1185;X
10349;Chief of Navy;Andrew Cunningham;1922;1964;1999;LWR;Power Projection Doctrine;High;M1138;X
10350;Chief of Air Force;William Wedgwood Benn;1922;1964;1999;LWR;Air Superiority Doctrine;High;9403;X
10351;Chief of Army;Frederick Rudolph Lambart;1920;1930;1999;SC;static defence doctrine;Medium;9354;X
10352;Chief of Army;George Milne;1925;1933;1999;ML;static defence doctrine;High;9358;X
10353;Chief of Navy;Louis Alexander Mountbatten;1914;1933;1933;ML;Decisive Naval Battle Doctrine;High;9596;X
10354;Minister of Armament;John Morley;1883;1923;1923;ML;Laissez-Faire Capitalist;Medium;9597;X
10355;Foreign Minister;William Adamson;1917;1922;1999;SL;The Cloak N Dagger Schemer;High;9395;X
