CHL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
210255;Minister of Security;José Florencio Valdés Cuevas;1917;1921;1999;ML;Efficient Sociopath;Medium;unknownminister;X
210256;Minister of Security;Federico Puga Borne;1918;1922;1999;SL;Compassionate Gentleman;Medium;3456;X
210257;Minister of Security;Pedro Aguirre Cerda;1918;1926;1999;SL;Man of the People;Medium;8458;X
210258;Minister of Security;Héctor Arancibia Laso;1919;1923;1999;SL;Prince of Terror;Medium;3474;X
210259;Minister of Security;Jorge Matte Gormaz;1920;1924;1999;ML;Crime Fighter;Medium;3994;X
210260;Minister of Security;Armando Jaramillo Valderrama;1920;1924;1999;ML;Silent Lawyer;Medium;2352;X
210261;Minister of Security;Antonio Huneeus Gana;1920;1924;1999;ML;Back Stabber;Medium;2350;X
210262;Minister of Security;Manuel Rivas Vicuña;1920;1924;1999;ML;Efficient Sociopath;Medium;8453;X
210263;Minister of Security;Francisco Garcés Gana;1921;1925;1999;ML;Compassionate Gentleman;Medium;unknownminister;X
210264;Minister of Security;Cornelio Saavedra Montt;1921;1926;1999;ML;Man of the People;Medium;2359;X
210265;Minister of Security;Carlos Alberto Ruiz Bahamonde;1921;1925;1999;SL;Prince of Terror;Medium;2355;X
210266;Minister of Security;José Maza Fernández;1922;1926;1999;ML;Crime Fighter;Medium;8438;X
210267;Minister of Security;Luis Altamirano Talavera;1922;1926;1999;PA;Silent Lawyer;Medium;8447;X
210268;Minister of Security;Alcibíades Roldán Álvarez;1922;1926;1999;ML;Back Stabber;Medium;unknownminister;X
210269;Minister of Security;Rafael Luis Barahona San Martín;1922;1926;1999;ML;Efficient Sociopath;Medium;unknownminister;X
210270;Head of Military Intelligence;Jorge Boonen Rivera;1908;1923;1999;SC;Industrial Specialist;Medium;3489;X
210271;Head of Military Intelligence;Luis Altamirano Talavera;1920;1926;1999;PA;Technical Specialist;Medium;8447;X
210272;Chief of Staff;Emilio Körner Henze;1900;1910;1999;SC;School of Fire Support;Medium;3427;X
210273;Chief of Staff;Jorge Boonen Rivera;1908;1923;1999;SC;School of Manoeuvre;Medium;3489;X
210274;Chief of Staff;Arístides Pinto Concha;1918;1922;1999;SC;School of Defence;Medium;2351;X
210275;Chief of Staff;Luis Altamirano Talavera;1920;1926;1999;PA;School of Psychology;Medium;8447;X
210276;Chief of Staff;Pedro Pablo Dartnell;1922;1927;1999;PA;School of Mass Combat;Medium;8462;X
210277;Chief of Army;Emilio Körner Henze;1898;1910;1999;SC;Guns and Butter Doctrine;Medium;3427;X
210278;Chief of Army;Jorge Boonen Rivera;1908;1923;1999;SC;Armoured Spearhead Doctrine;Medium;3489;X
210279;Chief of Army;Arístides Pinto Concha;1919;1922;1999;SC;Decisive Battle Doctrine;Medium;2351;X
210280;Chief of Army;Luis Altamirano Talavera;1920;1926;1999;PA;Static Defence Doctrine;Medium;8447;X
210281;Chief of Army;Pedro Pablo Dartnell;1922;1927;1999;PA;Elastic Defence Doctrine;Medium;8462;X
210282;Chief of Navy;Jorge Montt Álvarez;1895;1915;1999;SC;Base Control Doctrine;Medium;3995;X
210283;Chief of Navy;Luis Alberto Goñi Simpson;1911;1918;1999;SC;Open Seas Doctrine;Medium;8445;X
210284;Chief of Navy;Lindor Pérez Gacitúa;1914;1918;1999;SC;Decisive Naval Battle Doctrine;Medium;8444;X
210285;Chief of Navy;Joaquín Muñoz Hurtado;1914;1924;1999;SC;Power Projection Doctrine;Medium;3488;X
210286;Chief of Navy;Guillermo Soublette Garín;1920;1924;1999;SC;Indirect Approach Doctrine;Medium;3473;X
210287;Chief of Navy;Francisco Nef Jara;1920;1926;1999;SC;Base Control Doctrine;Medium;3461;X
210288;Chief of Navy;Salustio Valdés Cortés;1922;1927;1999;PA;Open Seas Doctrine;Medium;unknownminister;X
210289;Chief of Air Force;Pedro Pablo Dartnell;1913;1927;1999;PA;Air Superiority Doctrine;Medium;8462;X
210290;Chief of Air Force;Arístides Pinto Concha;1913;1922;1999;SC;Army Aviation Doctrine;Medium;2351;X
210291;Chief of Air Force;Juan Ortiz Vega;1923;1925;1999;SC;Carpet Bombing Doctrine;Medium;unknownminister;X
