USA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
240281;Foreign Minister;Oscar W. Underwood;1915;1930;1930;SL;Great Compromiser;High;3625;X
240282;Foreign Minister;Homer S. Cummings;1919;1940;1940;SL;Great Compromiser;High;3626;X
240283;Foreign Minister;Bainbridge Colby;1920;1922;1922;ML;Great Compromiser;High;3627;X
240284;Foreign Minister;Charles Evans Hughes;1920;1926;1926;ML;Biased Intellectual;High;3628;X
240285;Foreign Minister;William Jennings Bryan;1900;1926;1926;SL;Apologetic Clerk;High;3629;X
240287;Foreign Minister;James P. Cannon;1918;1975;1975;ST;Ideological Crusader;High;3630;X
240288;Foreign Minister;John Sherman;1897;1901;1901;ML;Ideological Crusader;High;3631;X
240289;Foreign Minister;John Hay;1898;1906;1906;ML;Ideological Crusader;High;3632;X
240290;Foreign Minister;William V. Allen;1893;1902;1902;SL;Apologetic Clerk;High;3633;X
240291;Head of Government;Theodore Roosevelt;1900;1920;1920;ML;Flamboyant Tough Guy;High;3634;X
240292;Head of Government;Cornelius N. Bliss;1897;1912;1912;ML;Corporate Suit;High;3635;X
240293;Head of Government;Alton B. Parker;1903;1914;1914;SL;Naive Optimist;High;3636;X
240294;Head of Government;William H. Taft;1908;1914;1918;ML;Silent Workhorse;High;3637;X
240295;Head of Government;Woodrow Wilson;1912;1925;1925;SL;Naive Optimist;High;3638;X
240296;Head of Government;Allan L. Benson;1914;1941;1941;SD;Ambitious Union Boss;High;3639;X
240297;Head of Government;Charles Evans Hughes;1916;1926;1926;ML;Silent Workhorse;High;3628;X
240298;Head of Government;Edith Wilson;1919;1922;1922;SL;Happy Amateur;High;3640;X
240299;Head of Government;James M. Cox;1920;1929;1929;SL;Political Protege;High;3641;X
240300;Head of Government;Eugene V. Debs;1900;1927;1927;SD;Ambitious Union Boss;High;3642;X
240301;Head of Government;Warren G. Harding;1914;1924;1924;ML;Backroom Backstabber;High;3643;X
240302;Head of Government;Calvin Coolidge;1920;1934;1934;ML;Silent Workhorse;High;3644;X
240303;Head of Government;John W. Davis;1924;1930;1930;SL;Political Protege;High;3645;X
240304;Head of Government;Robert M. LaFollette;1924;1926;1926;SD;Flamboyant Tough Guy;High;3646;X
240305;Head of Government;John J. Pershing;1900;1924;1924;PA;Old General;High;3611;X
240306;Head of Government;John Reed;1900;1921;1921;ST;Ambitious Union Boss;High;3647;X
240307;Head of Government;William McKinley;1897;1902;1929;ML;Silent Workhorse;High;3648;X
240308;Head of Government;Garret A. Hobart;1897;1900;1900;SC;Naive Optimist;High;3649;X
240309;Head of Government;William Jennings Bryan;1900;1926;1926;SL;Naive Optimist;High;3629;X
240310;Head of Military Intelligence;Joseph Kuhn;1912;1933;1933;SL;Logistics Specialist;High;3650;X
240311;Head of Military Intelligence;Ralph Van Deman;1914;1930;1930;PA;Logistics Specialist;High;3651;X
240312;Head of Military Intelligence;Ralph Van Deman;1914;1930;1930;ML;Political Specialist;High;3651;X
240313;Head of Military Intelligence;Marlborough Churchill;1918;1921;1921;ML;Dismal Enigma;High;3652;X
240314;Head of Military Intelligence;Dennis E. Nolan;1920;1937;1937;ML;Logistics Specialist;High;3653;X
240315;Head of Military Intelligence;Stuart Heintzelman;1921;1936;1936;ML;Political Specialist;High;3654;X
240316;Head of Military Intelligence;William K. Naylor;1922;1933;1933;ML;Industrial Specialist;High;3999;X
240317;Head of Military Intelligence;James H. Reeves;1924;1933;1933;ML;Dismal Enigma;High;7991;X
240319;Head of Military Intelligence;Robert Minor;1920;1953;1953;ST;Political Specialist;High;3655;X
240320;Head of Military Intelligence;Nelson A. Miles;1898;1926;1926;ML;Logistics Specialist;High;3613;X
240321;Head of State;Theodore Roosevelt;1900;1920;1920;ML;Die-hard Reformer;High;3634;X
240322;Head of State;Cornelius N. Bliss;1897;1912;1912;ML;Weary Stiffneck;High;3635;X
240323;Head of State;Alton B. Parker;1903;1914;1914;SL;Benevolent Gentleman;High;3636;X
240324;Head of State;William H. Taft;1908;1914;1918;ML;Weary Stiffneck;High;3637;X
240325;Head of State;Woodrow Wilson;1912;1925;1925;SL;Democratic idealist;High;3638;X
240326;Head of State;Leonard Wood;1912;1928;1928;PA;Resigned Generalissimo;High;3606;X
240327;Head of State;Allan L. Benson;1914;1941;1941;SD;Die-hard Reformer;High;3639;X
240328;Head of State;Charles Evans Hughes;1916;1926;1926;ML;Insignificant Layman;High;3628;X
240330;Head of State;James M. Cox;1920;1929;1929;SL;Benevolent Gentleman;High;3641;X
240331;Head of State;Eugene V. Debs;1900;1927;1927;SD;Die-hard Reformer;High;3642;X
240332;Head of State;Warren G. Harding;1920;1924;1924;ML;Autocratic Charmer;High;3643;X
240333;Head of State;Calvin Coolidge;1923;1934;1934;ML;Benevolent Gentleman;High;3644;X
240334;Head of State;John W. Davis;1924;1930;1930;SL;Insignificant Layman;High;3645;X
240335;Head of State;Robert M. LaFollette;1924;1926;1926;SD;Pig-headed Isolationist;High;3646;X
240336;Head of State;James P. Cannon;1918;1975;1975;ST;Die-hard Reformer;High;3630;X
240337;Head of State;William McKinley;1897;1902;1929;ML;Stern Imperialist;High;3648;X
240338;Head of State;Garret A. Hobart;1897;1900;1900;SC;Insignificant Layman;High;3649;X
240339;Head of State;William Jennings Bryan;1900;1926;1926;SL;Die-hard Reformer;High;3629;X
240340;Minister of Armament;Augustus Bacon;1900;1915;1915;SL;Resource Industrialist;High;3619;X
240341;Minister of Armament;Leslie M. Shaw;1902;1933;1933;ML;Resource Industrialist;High;3656;X
240342;Minister of Armament;George Cortelyou;1902;1914;1914;ML;Laissez-Faire Capitalist;High;3657;X
240343;Minister of Armament;John W. Smith;1904;1926;1926;SL;Resource Industrialist;High;3658;X
240344;Minister of Armament;Franklin MacVeagh;1908;1935;1935;ML;Administrative Genius;High;3659;X
240345;Minister of Armament;W.G. McAdoo;1912;1920;1920;SL;Administrative Genius;High;3660;X
240346;Minister of Armament;David F. Houston;1912;1922;1922;ML;Laissez-Faire Capitalist;High;3661;X
240347;Minister of Armament;John J. Pershing;1900;1924;1924;PA;Infantry Proponent;High;3611;X
240348;Minister of Armament;Fred Warren;1912;1933;1933;SD;Resource Industrialist;High;3662;X
240349;Minister of Armament;Victor Berger;1912;1933;1933;SD;Resource Industrialist;High;3663;X
240350;Minister of Armament;Carter Glass;1918;1930;1930;SL;Resource Industrialist;High;3664;X
240351;Minister of Armament;Andrew W. Mellon;1920;1938;1938;ML;Resource Industrialist;High;3665;X
240353;Minister of Armament;John Reed;1900;1921;1921;ST;Resource Industrialist;High;3647;X
240354;Minister of Armament;Lyman J. Gage;1900;1928;1928;ML;Administrative Genius;High;3666;X
240355;Minister of Security;Ethan A. Hitchcock;1900;1910;1910;ML;Silent Lawyer;High;3667;X
240356;Minister of Security;Philander C. Knox;1900;1922;1922;ML;Silent Lawyer;High;3618;X
240357;Minister of Security;George B. McClellan;1900;1927;1927;SL;Man of the People;High;3668;X
240358;Minister of Security;William H. Taft;1904;1931;1931;ML;Silent Lawyer;High;3637;X
240359;Minister of Security;James R. Garfield;1907;1919;1919;ML;Crime Fighter;High;3669;X
240360;Minister of Security;Richard A. Ballinger;1908;1923;1923;ML;Silent Lawyer;High;3670;X
240361;Minister of Security;Benjamin Tillman;1908;1919;1919;SL;Silent Lawyer;High;3671;X
240362;Minister of Security;Stanley Finch;1908;1941;1941;ML;Crime Fighter;High;3672;X
240363;Minister of Security;Walter L. Fisher;1911;1936;1936;ML;Silent Lawyer;High;3673;X
240364;Minister of Security;Alexander Bruce Bielaski;1912;1939;1939;SL;Silent Lawyer;High;3674;X
240365;Minister of Security;William J. Flynn;1912;1929;1929;ML;Man of the People;High;3675;X
240366;Minister of Security;Hugh L. Scott;1912;1920;1920;PA;Crime Fighter;High;3608;X
240367;Minister of Security;Alexander M. Palmer;1917;1937;1937;ML;Prince of Terror;High;3676;X
240368;Minister of Security;William J. Burns;1921;1933;1933;ML;Compassionate Gentleman;High;3677;X
240369;Minister of Security;J. Edgar Hoover;1924;1932;1973;ML;Director of FBI;High;3678;X
240371;Minister of Security;Robert Minor;1920;1953;1953;ST;crooked kleptocrat;High;3655;X
240372;Minister of Security;Cornelius N. Bliss;1897;1912;1912;ML;Silent Lawyer;High;3635;X
240373;Foreign Minister;Francis Parker Yockey;1945;1961;1961;FA;Biased Intellectual;High;5908;X
240374;Head of Military Intelligence;Francis Parker Yockey;1946;1961;1961;FA;Political Specialist;High;5908;X
240375;Minister of Security;William Randolph Hearst;1900;1952;1952;PA;Media magnate;Medium;5913;X
240376;Foreign Minister;William D. Pelley;1933;1966;1966;NS;Ideological Crusader;Medium;M6094;X
240377;Minister of Security;William D. Pelley;1940;1966;1966;NS;Crooked Kleptocrat;Medium;M6094;X
240378;Minister of Armament;William H. Woodin;1933;1935;1935;SL;Keynesian economy;Very High;8138;x
240379;Chief of Staff;George H. Dern;1933;1937;1937;SD;School of Defence;High;M6004;X
240380;Head of Government;Thomas R. Marshall;1913;1921;1921;SL;Naive Optimist;High;9323;X
240381;Head of Government;Charles G. Dawes;1923;1930;1930;SC;Naive Optimist;High;3053;X
240382;Head of State;Herbert Hoover;1928;1934;1934;SC;Benevolent Gentleman;High;3087;X
240383;Head of Government;Charles Curtis;1928;1937;1937;SC;Naive Optimist;High;3048;X
240384;Head of State;Al Smith;1928;1945;1945;SL;Benevolent Gentleman;High;3044;X
240385;Head of Government;Franklin D. Roosevelt;1924;1946;1946;SL;Silent Workhorse;High;3596;X
240386;Head of Government;Charles W. Bryan;1924;1946;1946;SL;Naive Optimist;High;3061;X
240387;Head of Government;Joseph Taylor Robinson;1928;1938;1938;SL;Naive Optimist;High;3952;X
240388;Minister of Armament;Ogden L. Mills;1932;1938;1938;ML;Resource Industrialist;Very High;9190;X
240389;Head of State;William Z. Foster;1923;1962;1962;ST;Ruthless Powermonger;High;M6055;X
240390;Head of Government;Benjamin Gitlow;1924;1966;1966;ST;Political Protege;High;3046;X
240391;Minister of Armament;Abram Jakira;1924;1932;1932;ST;Resource Industrialist;Low;unknownminister;X
240392;Head of Government;James W. Ford;1932;1958;1958;ST;Political Protege;High;unknownminister;X
240393;Head of Government;Martin Abern;1928;1950;1950;ST;Political Protege;High;unknownminister;X
240394;Head of State;Huey Long;1924;1936;1979;PA;Powerhungry Demagogue;High;unknownminister;X
240395;Head of Government;Morris Hillquit;1928;1934;1934;SD;Ambitious Union Boss;High;unknownminister;X
240396;Minister of Armament;Max Shachtman;1928;1973;1973;LE;Resource Industrialist;Very High;unknownminister;x
240397;Foreign Minister;Max Shachtman;1928;1973;1973;LE;Ideological Crusader;Medium;unknownminister;X
240398;Minister of Security;Martin Abern;1928;1950;1950;LE;Crooked Kleptocrat;Medium;unknownminister;X
240399;Minister of Security;Albert Goldman;1928;1961;1961;LE;Man of the People;Medium;unknownminister;X
240400;Foreign Minister;Martin Abern;1928;1950;1950;LE;Ideological Crusader;Medium;unknownminister;X
240401;Head of Military Intelligence;Joseph Vanzler;1928;1957;1957;LE;Political Specialist;High;unknownminister;X
240402;Minister of Armament;David Dubinsky;1928;1983;1983;SL;Resource Industrialist;Very High;unknownminister;x
240403;Foreign Minister;Jacob Panken;1928;1969;1969;LE;Ideological Crusader;Medium;unknownminister;X
240404;Minister of Security;Prescott Sheldon Bush;1928;1973;1973;PA;Man of the People;Very High;3540;X
240405;Chief of Army;Charles Pelot Summerall;1926;1932;1932;ML;Guns and Butter Doctrine;High;1673;X
240406;Chief of Staff;Charles Pelot Summerall;1926;1932;1932;ML;School of Mass Combat;High;1673;X
240407;Chief of Navy;Charles F. Hughes;1927;1931;1931;ML;Base Control Doctrine;High;1763;X
240408;Chief of Navy;William V. Pratt;1930;1934;1934;ML;Base Control Doctrine;High;9724;X
240409;Chief of Air Force;James Fechet;1927;1932;1932;ML;Air Superiority Doctrine;High;unknownminister;X
240410;Chief of Staff;Larry K. Arnold;1924;1964;1964;PA;School of Fire Support;High;unknownminister;X
240411;Chief of Army;George S. Patton;1924;1946;1946;PA;Armoured Spearhead Doctrine;High;L60294;X
240413;Head of Government;Burton K. Wheeler;1910;1947;1958;SC;political protege;High;3621;X
