JAP;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
50264;Head of Government;Kato Tomosaburo;1905;1924;1924;ML;Silent Workhorse;Medium;2755;X
50265;Head of Government;Kiyoura Keigo;1894;1943;1943;PA;Ambitious Union Boss;Medium;2768;X
50266;Head of Government;Okuma Shigenobu;1882;1923;1923;ML;Flamboyant Tough Guy;Medium;2771;X
50267;Head of Government;Saionji Kinmochi;1893;1941;1941;SC;Happy Amateur;Medium;2772;X
50268;Head of Government;Sakai Toshihiko;1915;1934;1934;ST;Ambitious Union Boss;Medium;2777;X
50269;Head of Government;Takahashi Korekiyo;1898;1937;1937;ML;Smiling Oilman;Medium;2778;X
50270;Head of Government;Terauchi Masatake;1896;1920;1920;PA;Naive Optimist;Medium;2750;X
50271;Head of Government;Ugaki Kazushige;1912;1931;1931;FA;Old General;Medium;2752;X
50272;Head of Government;Yamagata Aritomo;1882;1923;1923;NS;Old General;Medium;2779;X
50273;Head of Government;Yamakawa Hitoshi;1924;1959;1959;ST;Silent Workhorse;Medium;2780;X
50274;Head of Government;Yamamoto Gonnohyoe;1896;1934;1934;ML;Old Admiral;High;2762;X
50275;Head of Military Intelligence;Akashi Motojiro;1899;1920;1920;PA;Dismal Enigma;Medium;2781;X
50276;Head of Military Intelligence;Akiyama Saneyuki;1903;1919;1919;ML;Naval Intelligence Specialist;Medium;2782;X
50277;Head of Military Intelligence;Fukushima Yasumasa;1887;1920;1920;PA;Logistics Specialist;High;2783;X
50278;Head of Military Intelligence;Goto Shinpei;1892;1930;1930;ML;Industrial Specialist;Medium;2784;X
50279;Head of Military Intelligence;Tanaka Giichi;1899;1930;1930;ML;Logistics Specialist;Very High;2749;X
50280;Head of Military Intelligence;Ugaki Kazushige;1903;1931;1931;PA;Dismal Enigma;Medium;2752;X
50281;Head of Military Intelligence;Yamagata Aritomo;1873;1923;1923;FA;Political Specialist;Medium;2779;X
50282;Head of Military Intelligence;Yamamoto Gonnohyoe;1887;1934;1934;ML;Naval Intelligence Specialist;Medium;2762;X
50283;Head of State;Hirohito;1901;1990;1990;ML;Autocratic Charmer;Medium;M5001;X
50284;Head of State;Hirohito;1901;1990;1990;PA;Autocratic Charmer;Medium;M5001;X
50285;Head of State;Hirohito;1901;1990;1990;NS;Autocratic Charmer;Medium;M5001;X
50286;Head of State;Yoshihito;1879;1927;1927;ML;Insignificant Layman;High;2786;X
50287;Head of State;Yoshihito;1879;1927;1927;PA;Insignificant Layman;Medium;2786;X
50288;Head of State;Yoshihito;1879;1927;1927;NS;Insignificant Layman;Medium;2786;X
50289;Minister of Armament;Goto Shinpei;1892;1930;1930;FA;Resource Industrialist;Medium;2784;X
50290;Minister of Armament;Hamaguchi Osachi;1905;1932;1932;SL;Administrative Genius;Medium;2775;X
50291;Minister of Armament;Ichiki Otohiko;1907;1955;1955;FA;Military Entrepreneur;Medium;2787;X
50292;Minister of Armament;Inoue Junnosuke;1904;1933;1933;SD;Resource Industrialist;Medium;2788;X
50293;Minister of Armament;Kawakami Hajime;1914;1947;1947;ST;Resource Industrialist;Medium;2789;X
50294;Minister of Armament;Ozaki Yukio;1893;1955;1955;SD;Laissez-Faire Capitalist;Medium;2790;X
50295;Minister of Armament;Saionji Kinmochi;1884;1941;1941;ML;Laissez-Faire Capitalist;Medium;2772;X
50296;Minister of Armament;Sakai Toshihiko;1906;1934;1934;ST;Military Entrepreneur;Medium;2777;X
50297;Minister of Armament;Sakatani Yoshiro;1898;1942;1942;ML;Infantry Proponent;Medium;2791;X
50298;Minister of Armament;Shoda Kazue;1904;1931;1931;ML;Resource Industrialist;Medium;2792;X
50299;Minister of Armament;Shibusawa Eiichi;1875;1932;1932;ML;Administrative Genius;Medium;2793;X
50300;Minister of Armament;Takahashi Korekiyo;1889;1937;1937;ML;Administrative Genius;High;2778;X
50301;Minister of Armament;Taketomi Tokitoshi;1891;1939;1939;ML;Laissez-Faire Capitalist;Medium;2794;X
50302;Minister of Armament;Wakatsuki Reijiro;1901;1950;1950;ML;Corrupt Kleptocrat;Medium;2795;X
50303;Minister of Armament;Yamakawa Hitoshi;1915;1959;1959;ST;Infantry Proponent;Medium;2780;X
50304;Minister of Armament;Yamamoto Tatsuo;1891;1948;1948;PA;Laissez-Faire Capitalist;Medium;2796;X
50305;Minister of Security;Goto Shinpei;1892;1930;1930;PA;Prince of Terror;Medium;2784;X
50306;Minister of Security;Hara Takashi;1891;1922;1922;SD;Compassionate Gentleman;High;2776;X
50307;Minister of Security;Hirata Tosuke;1884;1926;1926;ML;Crime Fighter;Medium;2797;X
50308;Minister of Security;Ichiki Kitokuro;1902;1945;1945;ML;Silent Lawyer;Medium;2798;X
50309;Minister of Security;Kiyoura Keigo;1885;1943;1943;FA;Compassionate Gentleman;Medium;2768;X
50310;Minister of Security;Mizuno Rentaro;1903;1950;1950;FA;Crooked Kleptocrat;Medium;2799;X
50311;Minister of Security;Osugi Sakae;1920;1924;1924;ST;Crime Fighter;Medium;2800;X
50312;Minister of Security;Oura Kanetake;1885;1919;1919;FA;Silent Lawyer;Medium;3872;X
50313;Minister of Security;Ozaki Yukio;1893;1955;1955;SD;Man of the People;Medium;2790;X
50314;Minister of Security;Tokonami Takejiro;1902;1936;1936;SC;Efficient Sociopath;Medium;2801;X
50315;Minister of Security;Yamakawa Hitoshi;1915;1959;1959;ST;Compassionate Gentleman;Medium;2780;X
50316;Minister of Armament;Genda Minoru;1939;1990;1990;ML;Military Entrepreneur;Very High;6083;X
50317;Chief of Navy;Genda Minoru;1939;1990;1990;NS;Open Seas Doctrine;Very High;6083;X
50318;Chief of Navy;Genda Minoru;1939;1990;1990;SL;Open Seas Doctrine;Very High;6083;X
50319;Minister of Security;Okuma Shigenobu;1873;1923;1923;PA;Crime Fighter;Very High;2771;X
50320;Chief of Staff;Yamagata Aritomo;1873;1923;1923;SC;School of Fire Support;Very High;2779;X
50321;Chief of Navy;Yamagata Aritomo;1873;1923;1923;SC;Open Seas Doctrine;Very High;2779;X
50322;Chief of Air Force;Yamagata Aritomo;1873;1923;1923;SC;Army Aviation Doctrine;Very High;2779;X
50323;Head of Government;Saito Makoto;1902;1937;1937;ML;Old Admiral;High;2759;X
50324;Head of State;Mutsuhito;1852;1913;1913;PA;Die-hard Reformer;Very High;9135;X
50325;Head of Government;Katsura Taro;1892;1914;1914;PA;Silent Workhorse;Very High;9136;X
50326;Minister of Security;Ohara Naoshi;1912;1968;1968;SC;Crime Fighter;Medium;M5236;X
50327;Minister of Armament;Aoki Kazuo;1924;1983;1983;FA;Resource Industrialist;High;9686;X
50328;Minister of Armament;Sakurauchi Yukio;1923;1948;1948;PA;Laissez-Faire Capitalist;Medium;9687;X
50329;Minister of Armament;Kawada Isao;1918;1964;1964;PA;Administrative Genius;Medium;9688;X
50330;Minister of Security;Ando Kisaburo;1914;1955;1955;FA;Crime Fighter;High;9689;X
50331;Minister of Armament;Ogura Masatsune;1910;1962;1962;PA;Laissez-Faire Capitalist;Medium;9690;X
50332;Minister of Armament;Baba Eiichi;1914;1938;1938;PA;Resource Industrialist;Medium;M5107;X
50333;Minister of Armament;Yuki Toyotaro;1912;1952;1952;PA;Laissez-Faire Capitalist;Medium;9691;X
50334;Minister of Armament;Ishiwata Sotaro;1926;1951;1951;PA;Administrative Genius;Medium;9692;X
50335;Minister of Armament;Kaya Okinori;1924;1978;1978;SD;Administrative Genius;Medium;9693;X
50336;Minister of Armament;Ikeda Shigeaki;1902;1951;1951;SC;Laissez-Faire Capitalist;Medium;9694;X
50337;Head of Military Intelligence;Matsui Iwane;1925;1928;1954;PA;industrial specialist;Medium;L101116;X
50338;Head of Military Intelligence;Ninomiya Harushige;1928;1930;1935;PA;logistics specialist;Medium;9804;X
50339;Head of Military Intelligence;Tatekawa Yoshitsugu;1929;1931;1937;PA;industrial specialist;Medium;9805;X
50340;Head of Military Intelligence;Hashimoto Toranosuke;1931;1932;1937;PA;technical specialist;Medium;L101033;X
50341;Head of Military Intelligence;Isogai Rensuke;1933;1935;1940;PA;logistics specialist;Medium;L101067;X
50342;Head of Military Intelligence;Watari Hisao;1936;1937;1939;PA;industrial specialist;Medium;9806;X
50343;Head of Military Intelligence;Wakamatsu Tadakazu;1940;1941;1946;PA;logistics specialist;Medium;L101198;X
50344;Head of Military Intelligence;Arisue Seizo;1942;1945;1946;PA;technical specialist;Medium;9807;X
50345;Head of Military Intelligence;Kawabe Torashiro;1935;1936;1961;PA;logistics specialist;Medium;L101356;X
50346;Head of Military Intelligence;Muto Akira;1936;1937;1968;PA;dismal enigma;Medium;L101123;X
50347;Head of Military Intelligence;Shimada Shigetaro;1932;1933;1933;PA;naval intelligence specialist;Medium;M5170;X
50348;Head of Military Intelligence;Koga Mineichi;1932;1933;1934;PA;naval intelligence specialist;Medium;L101243;X
50349;Head of Military Intelligence;Tsuda Shizue;1933;1934;1935;PA;naval intelligence specialist;Medium;L101188;X
50350;Head of Military Intelligence;Abe Katsuo;1938;1940;1947;PA;naval intelligence specialist;Medium;L101000;X
50351;Head of Military Intelligence;Ogawa Kanji;1942;1943;1943;PA;naval intelligence specialist;Medium;698;X
50352;Head of Military Intelligence;Yano Hideo;1942;1944;1945;PA;naval intelligence specialist;Medium;9808;X
50353;Head of Military Intelligence;Ono Takeji;1944;1945;1946;PA;naval intelligence specialist;Medium;unknownminister;X
50354;Head of Military Intelligence;Nakase Noburo;1945;1946;1947;PA;naval intelligence specialist;Medium;unknownminister;X
50355;Chief of Staff;Suzuki Soroku;1926;1930;1941;PA;school of fire support;Medium;9809;X
50356;Chief of Army;Suzuki Soroku;1926;1930;1941;PA;decisive battle doctrine;Medium;9809;X
50357;Chief of Staff;Kanaya Hanzo;1930;1931;1934;PA;school of defence;Medium;9810;X
50358;Chief of Army;Kanaya Hanzo;1930;1931;1934;PA;decisive battle doctrine;Medium;9810;X
50359;Chief of Army;Yamanashi Hanzo;1921;1923;1935;PA;decisive battle doctrine;Medium;735;X
50360;Chief of Army;Minami Jiro;1931;1932;1932;PA;static defence doctrine;Medium;L101117;X
50361;Chief of Army;Araki Sadao;1931;1934;1937;PA;decisive battle doctrine;Medium;M5143;X
50362;Chief of Army;Hayashi Senjuro;1934;1935;1937;PA;static defence doctrine;Medium;M5033;X
50363;Chief of Army;Kawashima Yoshiyuki;1935;1937;1937;PA;decisive battle doctrine;Medium;L101089;X
50364;Chief of Army;Terauchi Hisaichi;1936;1937;1938;PA;armoured spearhead doctrine;Medium;M5039;X
50365;Chief of Army;Nakamura Kotaro;1937;1938;1944;PA;static defence doctrine;Medium;L101260;X
50366;Chief of Army;Itagaki Seichiro;1938;1940;1949;PA;decisive battle doctrine;Medium;L101070;X
50367;Chief of Army;Hata Shunroku;1939;1941;1946;PA;guns and butter doctrine;Medium;M5189;X
50368;Chief of Army;Anami Korechika;1945;1946;1946;PA;guns and butter doctrine;Medium;M5194;X
50369;Chief of Army;Higashikuni Naruhiko;1945;1946;1963;PA;armoured spearhead doctrine;Medium;M5038;X
50370;Chief of Army;Shimomura Sadamu;1945;1946;1963;PA;decisive battle doctrine;Medium;L101160;X
50371;Chief of Air Force;Yasuda Takeo;1943;1944;1946;PA;army aviation doctrine;Medium;L101342;X
