SPR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
255257;Chief of Air Force;Vicente Uribe Galdeano;1938;1964;1999;ST;Vertical Envelopment Doctrine;Medium;M11114;X
255258;Chief of Air Force;Juan López Sánchez;1933;1964;1999;LE;Army Aviation Doctrine;Medium;M11119;X
255259;Chief of Air Force;Juan Peiró Belis;1937;1964;1999;LE;Carpet Bombing Doctrine;Medium;M11123;X
255260;Chief of Air Force;Ventura Gassol Rovíra;1939;1964;1999;LE;Vertical Envelopment Doctrine;Medium;M11326;X
255261;Chief of Air Force;Mariano Vázquez Rodríguez;1943;1964;1999;LE;Air Superiority Doctrine;Very High;M11206;X
255262;Chief of Air Force;Trifon Gómez San José;1937;1964;1999;LWR;Vertical Envelopment Doctrine;High;M11329;X
255263;Chief of Air Force;Indalecio Prieto Tuero;1943;1964;1999;LWR;Army Aviation Doctrine;High;M11331;X
255264;Chief of Air Force;Felipe Díaz Sandino;1933;1964;1999;SD;Army Aviation Doctrine;Medium;M11332;X
255265;Chief of Air Force;Lluis Companys i Jover;1937;1964;1999;SD;Naval Aviation Doctrine;Medium;M11310;X
255266;Chief of Air Force;Ángel Camacho Benítez;1938;1964;1999;SD;Air Superiority Doctrine;Medium;M11334;X
255267;Chief of Air Force;Julio Just Gímeno;1941;1964;1999;SD;Vertical Envelopment Doctrine;Medium;M11335;X
255268;Chief of Air Force;María Lejarraga de Martínez;1943;1964;1999;SD;Carpet Bombing Doctrine;Medium;M11336;X
255269;Chief of Air Force;Alfredo Kindelán y Duany;1933;1964;1999;SC;Carpet Bombing Doctrine;High;7768;X
255270;Chief of Air Force;Emilio Herrera;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M11145;X
255271;Chief of Air Force;Diego Hidalgo Dúran;1938;1964;1999;PA;Air Superiority Doctrine;High;M11101;X
