#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X;
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X;
1000641a;All of Poland must become as German as the Rhineland.;;;;;;;;;;X;
1000641b;Maintain the status quo. Poland will remain occupied.;;;;;;;;;;X;
1000641c;Dissolve the Generalgouvernement immediately.;;;;;;;;;;X;
1000642name;Fate of Poland;;;;;;;;;;;
1000642desc;The Reich has decided to Germanize all of Poland!;;;;;;;;;;X;
1000642a;Warsaw has risen! Grind them to dust!;;;;;;;;;;X;
1000643name;Germanization of Poland: Phase One;;;;;;;;;;;
1000643desc;The first steps of the Germanization of Poland have been completed. Leveraging existing German populations in districts Krakau and Lublin, we have elevated these natives to positions of power within their local governments, allowing them to grant special concessions and favor to Germanic settlers we have brought in from all over Europe. The marginalization of the existing Polish population will ensure that in 15 to 20 years, all of Poland will be on an irrevocable demographic shift.\n \nWe expect to be able to dismiss the Generalgouvernement well before this amount of time is needed, but for now it will facilitate establishing German families within Poland. Now that the districts of Warschau, Radom and Galizien have been separated from each other by these efforts, collaboration among the native Poles will be much more difficult. The next steps of Germanization are now underway.;;;;;;;;;;X;
1000643a;Never again will the Poles defy our will.;;;;;;;;;;X;
1000644name;Germanization of Poland: Phase Two;;;;;;;;;;;
1000644desc;With the establishment of German schools all across the former territory of Poland, we are educating select Polish children to identify as Germans. This process is carefully monitored by the Ostministerium to ensure that only the desired elements within the native Polish population will become part of our nation, and these efforts are already having the desired effect.\n \nDistrict Radom is now sufficiently Germanized that our efforts can now focus on the two remaining Polish strongholds - district Warschau and district Galizien.;;;;;;;;;;X;
1000644a;Control the youth, control the future.;;;;;;;;;;X;
1000645name;Germanization of Poland: Phase Three;;;;;;;;;;;
1000645desc;All across the territory administered by the Generalgouvernement, there are no longer any native Poles in positions of power. The official state language has been German for many years, and any citizen that wishes to have a share of influence for himself has no choice but to be Germanized and undergo a thorough evaluation by the Ostministerium.\n \nDistrict Warschau has finally been Germanized to the degree that all daily operations are closely under the supervision of hand-selected officials. In the former Polish capital, all existing signs and street names have been completely replaced by German equivalents. The Polish language has been greatly diminished in daily usage, and anyone that dares to breach this understanding is dealt with appropriately. Only district Galizien remains before our grip over all of what used to be Poland will be completed.;;;;;;;;;;X;
1000645a;The city must be referred to as Warschau, as it should be.;;;;;;;;;;X;
1000646name;Germanization of Poland: Phase Four;;;;;;;;;;;
1000646desc;As the watchful eye of the Generalgouvernement now penetrates all aspects of daily life under its authority, the final district of Galizien is now on an unstoppable path to future Germanization. This territory that once belonged to the Austro-Hungarian Empire became part of our puppet Polish state during the invasion of the Soviet Union, expanding its overall territory by almost twice of what it originally encompassed.\n \nThe final steps to transform Poland into a proper Reichsgau are now underway, and we expect to incorporate it into the Reich within only another year or so.;;;;;;;;;;X;
1000646a;We continue to clean up the remains of Austria-Hungary.;;;;;;;;;;X;
1000647name;Germanization of Poland: Final Integration;;;;;;;;;;;
1000647desc;Our colonization of Poland has reached the level where we can turn over this territory to be integrated into the Reich.;;;;;;;;;;X;
1000647a;The Reichskommissariat has succeeded in its goals!;;;;;;;;;;X;
1000648name;Generalplan Ost - Incorporation of Gotengau;;;;;;;;;;;
1000648desc;The construction of a beautiful national park commemorates one of the most critical moments in the history of the thousand-year Reich - the incorporation of Gotengau and the abundant fields of Ukraine. Though it has taken many years and an enormous investment of resources, Gotengau has been sufficiently Germanized to be incorporated directly into the Greater Germanic Reich. Official administration of the region has passed from the Reichskommissariat to our control. The process of Germanization will still take many more generations, but the foundations have been laid.\n \nTo celebrate the realization of his vision, the Führer and Heirich Himmler have taken a public tour across the ancient Gothic homeland of Crimea and communal farms in Ukraine. German farmers look on as the procession drives by toward their final destination in Theodorichshafen. The Wehrbauer of this region are presented with the highest decorations of German society, celebrated as heroes for their contributions to the future of European civilization. Their large families gather around to cheer for their fathers and husbands as they proudly accept these honors.\n \nNever again will this heartland of abundance be threatened by destructive conflicts. We have triumphed!;;;;;;;;;;X;
1000648a;Ukraine will forever be the cornucopia of the Reich.;;;;;;;;;;X;
1000649name;Generalplan Ost - Incorporation of Memel-Narew;;;;;;;;;;;
1000649desc;A momentous occasion is upon us. In celebration of the colonization efforts in the Baltic territories, a grand procession has began moving from Konigsberg to Riga. Soldiers of the Wehrmacht fly the medieval banners of the Teutonic Knights and adorn themselves with the tradtional icons of the forefathers of modern Germany, much to the joy and celebration of native German families that now inhabit the countryside.\n \nIn Riga, the Führer awaits the arrival of this parade before he makes his speech before the residents of the city. It seemed like a lifetime ago that his vision of the Reich's ambitions seemed so distant, but now they are becoming a reality. Projected estimates for full Germanization are still decades away, but our investments have shown their results since the decision was made to undertake the project. Administration over the territories once known as Lithuania and Latvia have passed from the Reichskommissariat into our direct control, and these lands are now a core component of the Greater Germanic Reich. Congratulations!;;;;;;;;;;X;
1000649a;Der Drang nach Osten has guided our vision to reality.;;;;;;;;;;X;
1000650name;Generalplan Ost - Incorporation of Ingermannland;;;;;;;;;;;
1000650desc;A grand celebration is taking place in the new city of Adolfsburg. Germans and Scandinavians alike cheer as the Führer and his entourage sail into port. The Germanization of Ingermannland has reached the accepted threshold as designated by the Ostministerium for official incorporation into the Reich itself, and administration of the territory has passed from the Reichskommissariat into our hands.\n \nAs the crowds cheer in the newly paved roads of Adolfsburg, another celebration takes place to the south in Holmgard. The Führer's inspection of his far eastern conquests went as smoothly as expected, and this land that once belonged to the Swedish Empire is now an integral part of the Greater Germanic Reich. Though it will still take decades of settlement before this land can truly be called German, we are well on our way to accomplishing this transformative endeavor. Where there was once only wilderness and the chaos of native savagery, we have brought the light of civilization to the far east and reversed the Russification that set it back by so many years. Well done!;;;;;;;;;;X;
1000650a;This bulwark of civilization shall forever be German.;;;;;;;;;;X;
1000651name;Generalplan Ost - Incorporation of Baku;;;;;;;;;;;
1000651desc;The region of Baku has received the most focused and specialized attention out of any of the eastern conquests gained from Operation Barbarossa. After the approval of Generalplan Ost, enormous resources were poured into this area to ensure that it would become the pulsing heart that would supply the Reich with critical oil. State-of-the-art facilities including heavy industry, land fortifications, a fully equipped air base and RADAR have been constructed. Administration of the zone has become Germanized to the degree that control has passed from our Reichskommissariat directly to us.\n \nAs the Führer's personal plane lands in the city of Baku, local German and Azeri families gather around to celebrate his arrival. He has made a special trip to tour the facilities of his most prized conquest. Engineers have staged a technical demonstration of an oil well for his arrival, a brilliant showcase of German engineering. As the black gold surges into the skies, the Führer and his entourage look on in awe at the realization of his vision. Baku will forever be part of the Reich!;;;;;;;;;;X;
1000651a;Our civilization spans from the Baltic to the Caspian.;;;;;;;;;;X;
1000652name;Germanization of Poland: Incorporation;;;;;;;;;;;
1000652desc;The Reichskriegsflagge is hoisted over the rebuilt city of Warschau as the Führer begins his tour of the newest Reichsgau. Where Poland once stood, there now exists a volkisch majority and German flags hanging from every building. The Germanization of Poland has reached such a level where the services of the Generalgouvernement are no longer necessary, and control of the former Polish territory has passed directly to the Reich.\n \nFor centuries, the German nation has sought to subjugate the Polish as the burgeoning numbers of its population made it necessary to seek Lebensraum in the east. Where other German statesmen have ultimately failed, we have succeeded far beyond even their greatest ambitions. Within a few more decades, the former identity of Poland will only be a curious footnote in old history books. For now, the Führer enjoys his tour beginning in Warschau all the way to the city of Kolomea in district Galizien. Poland is no more!;;;;;;;;;;X;
1000652a;The Polish were worthy adversaries, and now pass into history.;;;;;;;;;;X;
1000653name;Generalplan Ost - All quiet on the Ostfront;;;;;;;;;;;
1000653desc;Organized rebellions in the Reichskommissariats have finally been exhausted!;;;;;;;;;;X;
1000653a;Peace at least!;;;;;;;;;;X;
1000654name;Generalplan Ost - All quiet on the Ostfront;;;;;;;;;;;
1000654desc;A quiet wind blows across the fields of Ukraine to the forests in northern Russia. After years of pointless resistance, organized partisan groups in our Reichskommissariats have finally been exhausted. Smuggling networks used by foreign powers to arm and incite these dissidents have been wiped out by the Gestapo after intense crackdowns.\n \nAcqusition of forced labor to staff and repair the damaged factories has been enacted, giving our Reichskommissariats much better ability to stand on their own. Finally, our construction crews and migrating groups of settlers can travel in relative peace as the savagery of these lands has been finally been tamed by German will.;;;;;;;;;;X;
1000654a;Finally, they cease their pointless struggle.;;;;;;;;;;X;
1000655name;Generalplan Ost has been disrupted;;;;;;;;;;;
1000655desc;We have lost control over our eastern conquests and Generalplan Ost has been disrupted! Our plans in the east have failed!;;;;;;;;;;X;
1000655a;Disaster has befallen the Reich.;;;;;;;;;;X;
1000656name;Volga ASSR defects to Germany!;;;;;;;;;;;
1000656desc;The Volga ASSR has defected to Germany after our surrender!;;;;;;;;;;X;
1000656a;There is nothing we can do.;;;;;;;;;;X;
1000657name;The Volga Germans;;;;;;;;;;;
1000657desc;Catherine the Great, Empress of All the Russias, was born a German princess and would eventually rule the Empire of Russia in the mid-18th century. In 1762, she declared an invitation for Europeans to settle in Russia and cultivate farmland. These Europeans, mostly Germans from the Rhineland and Bavaria, were allowed to retain their language and customs. Many of these Germans would settle along the Volga River, forming distinct communities.\n \nThis community of Germans was so substantial that in 1924, the Volga German Autonomous Soviet Socialist Republic was created with a population of about 380,000 native Germans, composing two-thirds of the total population within its jurisdiction. Following the invasion of the Soviet Union, Stalin issued a formal Decree of Banishment which abolished the ASSR and began an intensive program of deportation of the native Germans in the area, fearing they would act as collaborators or spies. Almost all of these Volga Germans were deported to labor camps in central Asia and Siberia, many of whom would perish during and after the war on the eastern front.\n \nWith the defeat of the USSR following Operation Barbarossa, the communist regime has fallen into chaos. Many Germans that survived their forced expulsions have been able to find their way back to their old homes, inspired by the Reich's triumph. They have managed to stage an uprising in the former Volga ASSR, and have declared their allegiance to us!;;;;;;;;;;X;
1000657a;Heim ins Reich! Aid these heroes!;;;;;;;;;;X;
1000658name;Successful crusade against Bolshevism;;;;;;;;;;;
1000658desc;The war against the Soviet Union was not solely undertaken by the armed forces of Germany. Over 20 European countries and various national groups would take part in the most titanic military operation in world history with an estimated 4,000,000 conscripts and volunteers from all over Europe that would participate in the war on the eastern front. Many of these soldiers would form the backbone of organizations such as the Waffen-SS, making them a vital contribution to the war effort.\n \nUpon Hitler's declaration of war in 1941, the conflict against the Soviet Union took on a uniquely ideological tone that had not been present in the wars before the 20th century. Whereas war in the past had often been based on religious, economic, and dynastic contexts, the eruption between National Socialist Germany and Soviet Russia was based upon both Hitler's desire for Lebensraum in the east and his ideological conviction that Bolshevism was the greatest threat to European civilization and would eventually seek to dominate the entire planet.\n \nThis modern crusade has been successful, and we have ensured the freedom of Europe from those that would seek to enslave her and her descendants. The Asiatic hordes have been repulsed and Bolshevism curbed thanks to the selfless heroism of European soldiers. Salvation!;;;;;;;;;;X;
1000658a;We are the saviors of Europe!;;;;;;;;;;X;
1000659name;Heroes of the Ostfront;;;;;;;;;;;
1000659desc;"The bestowment of military decorations is a long-standing Prussian tradition to exemplify the service of German soldiers. After the conclusion of Operation Barbarossa, the Führer immediately ordered the creation of a series of ""Ostfront"" medals to commemorate the soldiers that bravely fought against the Bolshevisk menace. Any serviceman that participated in the conflict would be awarded with a ""Hero of the Ostfront"" medal to immortalize the commitment to his duty, many of them awarded posthumously.\n \nSpecial awards such as the ""Knight of Moscow"" and ""Shield of Stalingrad"" were also awarded to those who participated in key battles that saw the fall of major Soviet cities. German field marshals that supervised Operation Barbarossa were rewarded with the ""Grand Cross of the Ostfront"", an honor that had no equal among all the decorations awarded in the Third Reich.";;;;;;;;;;X;
1000659a;We owe everything to our 20th century knights.;;;;;;;;;;X;
1000660name;Spoils from the East;;;;;;;;;;;
1000660desc;By right of conquest, we claim the spoils of war. After the conclusion of Operation Barbarossa, the Germans looted what they could in order to sustain their economy and future prospects. Valuable assets and material from the east have been transferred to our stockpiles.;;;;;;;;;;X;
1000660a;A practice as old as mankind.;;;;;;;;;;X;
1000660b;We have looted all that we can.;;;;;;;;;;X;
1000661name;Glory of the Reich;;;;;;;;;;;
1000661desc;"After assuming power in the German Reich in 1933, the cult of personality that formed around Adolf Hitler has grown stronger with each passing year. Hitler's diplomatic maneuvering and statesmanship resurrected Germany from the humiliation of the Treaty of Versailles and catapulted Germany from utter collapse to one of the most powerful nations in the world. Embodying the will of the Reich in the focused intent of a single man, Hitler has defeated all who have stood in his way. The Fall of France in 1940 shocked the planet, many of whom believed that France still possessed the strongest land army in the world. What the Second Reich failed to accomplish in 4 years in the terrible waste of the First World War, the Third Reich achieved in less than two months.\n \nNow that the Soviet Union has also fallen to the will of the Führer and the strength of German steel, there are few that stand in the way of his New Order. While Operation Barbarossa took place, the world was watching. The legitimacy of National Socialist ideology has proven itself on the battlefield, and the people of the world are adjusting their worldview accordingly.\n \n""The great strength of the totalitarian state is that it forces those who fear it to imitate it."" - Adolf Hitler";;;;;;;;;;X;
1000661a;In a clash of ideologies, the strongest will prevail.;;;;;;;;;;X;
1000662name;Fascism on the rise;;;;;;;;;;;
1000662desc;The incredible victories of the Third Reich are not going unnoticed by the people of our nation - the fall of the Soviet Union is making many of them believe in the legitimacy of Adolf Hitler and his ideas!;;;;;;;;;;X;
1000662a;The world is a volatile place.;;;;;;;;;;X;
1000663name;Destruction of Kiev;;;;;;;;;;;
1000663desc;"One of Adolf Hitler's goals in the war against the Soviet Union was the complete annihilation of historic Russian cities such as Kiev, Moscow, Stalingrad (Volgagrad) and Leningrad (St. Petersburg). The purpose of this destruction was both ideologically and racially motivated, as he believed that the razing of these historical cities would be a demonstration of his conviction to annihilate both Bolshevist ideology and major Russian population centers. This would serve as show of force against local partisan groups and remove major resistance cells, along with effectively erasing the existence of the native people from these regions to pave the way for his vision of the Reich's future civilization.\n \nNow that the war with the Soviet Union is over and our forces have began pacifying the eastern conquests, these demolition projects may begin. Kiev is the first location slated to be removed from the map. This idea has met some resistance in the party, particularly from Himmler who refers to Kiev as ""Kiroffo"", believing that it may be the grounds of an ancient Germanic city. A decision must be made for the future of these cities.";;;;;;;;;;X;
1000663a;Raze Kiev and all of the other cities to the ground.;;;;;;;;;;X;
1000663b;These operations are unnecessary.;;;;;;;;;;X;
1000664name;Capital moves to Rowne;;;;;;;;;;;
1000664desc;With the destruction of Kiev, our center of administration of the Reichskommissariat has moved to Rowne.;;;;;;;;;;X;
1000664a;Very well.;;;;;;;;;;X;
1000665name;Destruction of Leningrad;;;;;;;;;;;
1000665desc;The capture of Leningrad, along with Moscow and Stalingrad, was one of the three primary strategic goals of Operation Barbarossa. By 1939, Leningrad was an manufacturing center accounting for nearly 11 percent of the Soviet Union's industrial output. Its symbolic importance as both the former capital of Russia and the center of the Russian Revolution also made it a vital location to achieve a decisive victory over the Soviet Union. Once known as St. Petersburg, the city had been renamed in honor of Vladimir Lenin after the formation of the USSR. It has been said that Hitler was so confident in the capture of the city that he had already printed invitations for victory celebrations in the Hotel Astoria located there.\n \nNow that the victory party is over, the order to destroy the city has been issued. In its place, the new city of Adolfsburg will be constructed to serve as the capital of the Ingermannland province as per the decree in Generalplan Ost.;;;;;;;;;;X;
1000665a;The tumor of the Bolshevisk Revolution must be excised.;;;;;;;;;;X;
1000666name;Commission of Adolfsburg;;;;;;;;;;;
1000666desc;With the destruction of Leningrad, the new city of Adolfsburg has been commissioned in its place.;;;;;;;;;;X;
1000666a;Great!;;;;;;;;;;X;
1000667name;Destruction of Moscow;;;;;;;;;;;
1000667desc;The Soviet capital city of Moscow was a critical component in both German war aims and Red Army logistics during the war on the eastern front. A historic Russian city, also a core transit and population center, it was the political seat of power for Stalin and his party.\n \nHitler and his generals disagreed on the significance of capturing the city during Operation Barbarossa. While the generals of the Wehrmacht believed in the classic wartime strategy of seizing an enemy's capital to force a surrender, Hitler believed that the nature of modern warfare demanded that capturing an enemy's industrial and resource base was the only way to achieve success, and thus focused the campaign's attention on Ukraine and then moving towards the oil fields in the Caucasus. Whether or not the capture of Moscow in 1941 would have caused the capitulation of the USSR is still a popular topic of discussion today.\n \nWith the city in German hands, Hitler's vision for the fate of Moscow will now be enacted. All valuable works of art and historic relics have been evacuated from the city to be showcased in museums to teach future generations. Moscow will be completely leveled and the remains transformed into an artificial lake via the destruction of the Moscow-Volga canal. Administration of Reichskommissariat Moskowien will be moved to the future site of Adolfsburg.;;;;;;;;;;X;
1000667a;The very heart of Russia must be submerged.;;;;;;;;;;X;
1000668name;Capital moves to Adolfsburg;;;;;;;;;;;
1000668desc;With the destruction of Moscow, the new city of Adolfsburg will become the capital of Reichskommissariat Moskowien.;;;;;;;;;;X;
1000668a;Great!;;;;;;;;;;X;
1000669name;Destruction of Stalingrad;;;;;;;;;;;
1000669desc;"Stalingrad, a historic Russian city situated on the banks of the Volga River, was another critical objective for the Wehrmacht during the war on the eastern front. Known as ""Tsaritsyn"" for centuries until the Bolshevisk Revolution, it was rennamed ""Stalingrad"" in honor of Josef Stalin. The capture of this city was seen by Adolf Hitler as an important symbolic objective, bearing Stalin's namesake and serving as an important transit and logistical hub for the Red Army.\n \nHistorically, the Wehrmacht controlled up to 90 percent of the city during the legendary Battle of Stalingrad. Ultimately, German blitzkrieg tactics failed to subdue the city and it would serve as the breakwater point for German expansion where it began to recede upon the decisive defeat and loss of the entire German 6th Army.\n \nHitler has decreed the annihilation of this last major Soviet city, motivated primarily by a desire to wipe Stalin's name from the historical record. The city will be razed to the ground without prejudice, destroying a potential hub of resistance and achieving another symbolic victory for the Reich.";;;;;;;;;;X;
1000669a;Stalingrad will not even be a memory decades from now.;;;;;;;;;;X;
1000670name;Commission of Wolgaburg;;;;;;;;;;;
1000670desc;With the destruction of Stalingrad, the new city of Wolgaburg has been commissioned in its place.;;;;;;;;;;X;
1000670a;Great!;;;;;;;;;;X;
1000671name;Refugees from the west;;;;;;;;;;;
1000671desc;As the Germans continue to terrorize our lost territories, waves of refugees pour in from across the Volga.;;;;;;;;;;X;
1000671a;Equip and train them.;;;;;;;;;;X;
1000671b;Place them in the reserves.;;;;;;;;;;X;
1000672name;The USSR has surrendered;;;;;;;;;;;
1000672desc;As expected by diplomatic analysts, the USSR has surrendered. This radically changes the balance of power across the globe, and we must adjust our policies accordingly. Some of our citizens are concerned that we may be the next target of Hitler's conquests, and have formed protection squadrons to defend the homeland.;;;;;;;;;;X;
1000672a;We must be vigilant.;;;;;;;;;;X;
1000673name;The Icebreaker;;;;;;;;;;;
1000673desc;"After the beginning of Operation Barbarossa, it quickly became clear that the Soviet Union had been enormously underestimated. Upon commencing the invasion, it was discovered that the USSR had hundreds of divisions that were not accounted for by initial intelligence reports, and possessed the largest land army ever seen in human history. Only through the lightning precision of the German blitzkrieg were these forces effectively neutralized and victory was achieved. If the Reich had been locked into a war of attrition, defeat would have been inevitable against the overwhelming numbers and industrial resources of the Red Army.\n \nFollowing the German victory, important documents were found in Moscow that revealed Stalin's shocking plans - he had intended to use Hitler to wear down the western Allies and then strike from the east, seizing a weakened Europe and spreading the Bolshevik revolution from the Pacific to the Atlantic, and from there, the entire planet!\n \nOnly through a preemptive strike was Germany able to save Europe from this nightmarish scenario. As Hitler delivers a public broadcast to the world detailing this sinister communist scheme, he cites these documents and the titanic size of the Red Army as evidence that speaks for itself. Stalin's idea of using Hitler as an ""icebreaker"" to soften the world for his Red Dawn sends chills through families everywhere as they listen intently to Hitler's speech. Thanks to the vigilance of the Third Reich, the world has been saved from a terrible fate.";;;;;;;;;;X;
1000673a;History will be kind to me, for I intend to write it.;;;;;;;;;;X;
1000674name;Dismantle the Stalin Line;;;;;;;;;;;
1000674desc;The Stalin Line was a series of fortifications first established in the 1920s to protect the USSR against attacks from the west. The fortifications were designed to funnel invaders along specific channels to assist in defending an enormously long geographic front, with the line stretching all the way from the Baltic coast to the border of Ukraine. When the Germans invaded in 1941, much of the line was unfinished and in disrepair, and thus of little use against the blitzkrieg.\n \nWe may dismantle these fortifications and reuse the materials for ourselves now that our eastern border has been established far beyond this frontier.;;;;;;;;;;X;
1000674a;Dismantle the fortifications and reuse the materials.;;;;;;;;;;X;
1000674b;Leave the line intact.;;;;;;;;;;X;
1000675name;Motorization of the East;;;;;;;;;;;
1000675desc;One of Adolf Hitler's long-term goals after the conquest of Russia was the construction of a modern highway and railway system to facilitate transportation from Germany proper into its eastern frontiers. After the war had been won in its entirety, these networks would expand to cover all of Europe and potentially all the way to India and beyond the Urals.\n \nThis modern transportation network would serve the Reich's economic and logistical interests, forming the arteries of the New Order and backbone of a National Socialist inspired concept of Mitteleuropa. The first major tracks have been laid from Berlin to Silesia, from where our highways and railways will branch out towards the east.;;;;;;;;;;X;
1000675a;Begin building der Ost Autobahn und Breitspurbahn.;;;;;;;;;;X;
1000676name;Motorization of the East - Poland;;;;;;;;;;;
1000676desc;Major highway and railway networks have been completed in the Poland region, with Warschau and Lemberg becoming central hubs. This prepares us for further expansion into Russia and Ukraine.;;;;;;;;;;X;
1000676a;Continue the construction.;;;;;;;;;;X;
1000677name;Motorization of the East - Russia;;;;;;;;;;;
1000677desc;Major highway and railway networks have been completed in Russia, linking us to the Moscow reservoir and Adolfsburg. Minsk has also become a major logistics hub for our settlement of the east.;;;;;;;;;;X;
1000677a;We are paving the way for civilization.;;;;;;;;;;X;
1000678name;Motorization of the East - Ukraine;;;;;;;;;;;
1000678desc;Major highway and railway networks have been completed in Ukraine, with the former site of Kiev now serving as a logistics hub. Railways and highways stretch southwards to Theodorichshafen and to the east in Wolgaburg. The last major network to be completed will run from Rostov to Baku.;;;;;;;;;;X;
1000678a;The route to Baku must now be laid.;;;;;;;;;;X;
1000679name;Motorization of the East - Caucasus;;;;;;;;;;;
1000679desc;Major highway and railway networks have been completed from Rostov to Baku. This will allow us to transport oil from our far eastern frontier and rapidly respond to any incursions in the area. The completion of this sector also allows us to free up some of the resources invested into Generaplan Ost.;;;;;;;;;;X;
1000679a;Trains and automobiles will flow across these lands.;;;;;;;;;;X;
1000680name;South Tyrol Option Agreement;;;;;;;;;;;
1000680desc;The South Tyrol Option Agreement refers to the period between 1939 and 1943 where the native German population of South Tyrol, ceded to Italy since the end of the First World War, was given the option of emigrating to the Greater Germanic Reich or being assimilated into Italy. Historically, over 80 percent of the residents of the area opted to move to Germany.\n \nThe question of ownership of South Tyrol met with fiercely competing opinions among German and Italian nationalists, both between each other and within their own groups. Although the area predominantly spoke the German language, Italian irredentist theories claimed that the population was ethnically Italian and had been Germanized over the course of centuries. After the Austrian Anschluss, Adolf Hitler decided to settle this dispute with Mussolini by formally renouncing claims to the province and used this to gain diplomatic leverage with the Italian fascist leader.\n \nWith Generalplan Ost well underway, many Germans in this territory have been granted incentives to take part in the colonization of the east, including land grants, fully equipped farms, military protection and other state-sponsored programs from the Reich to assist in the settlement of their new homes. Similar programs are also taking place in Elsass-Lothringen, the Low Countries and Schleswig-Holstein.;;;;;;;;;;X;
1000680a;We must find colonists wherever we can.;;;;;;;;;;X;
1000681name;Manifest Destiny;;;;;;;;;;;
1000681desc;"The term ""Manifest Destiny"" typically refers to the 19th century expansionist doctrine of the United States into its westward frontier. The spirit of American exceptionalism imbued the new nation with an powerful sense of its own destiny to cover the American continent from coast to coast. It was the essential duty of the American people to civilize an untamed, wild land inhabited by native savages. Framing this concept in a sociological perspective, this was the American nation's ""conquest"" phase where a nascent tribe surges forth with raw energy, eager to test its strength and prove itself on the world stage.\n \nAdolf Hitler took great inspiration from this concept, consistently referring to the USA as the ""American Union"" and praising the idea of Manifest Destiny. He expressed his admiration for the Anglo-Saxon nation's successful acquisition of western Lebensraum in various literature, including Mein Kampf. Hitler viewed the American subjugation of its native populations as a parallel to his own ambitions of conquering European Russia for essential living space and resources needed to ensure the Reich's survival and independence.\n \nAs Generalplan Ost makes progress, Hitler has made various speeches exemplifying the ideology of social darwinism taken to its natural conclusion, that the weaker races of the planet must inevitably be subjugated by the stronger in order for mankind as a whole to progress and for civilization to flourish. He continues to use the historical example of the United States as a basis for this philosophy, causing great debate among those interested in the topic.";;;;;;;;;;X;
1000681a;Truly, this earth is a trophy cup for the industrious man.;;;;;;;;;;X;
1000682name;Blut und Boden;;;;;;;;;;;
1000682desc;"The concept of ""Blut und Boden"" (Blood and Soil) is an ideology of German origin that emphasizes the relationship of a nation to both its blood ancestry and the land that it cultivates. It is a philosophy that strongly emphasizes agrarian life and the peasant's connection to the soil of the land, decrying the corrupting influence of modern urbanization and its negative effects on a nation's spirit. Strong men and women, the backbone of a healthy nation, can only be raised in an environment where a nigh-divine connection exists between them and the soil that they live upon.\n \nForming a core principle of Adolf Hitler's desire for Lebensraum, Blut und Boden is the driving ideology behind the settlements established in Generalplan Ost. Advertised as a way for the German worker to escape from the stifling, unnatural existence of urban life, the Blut und Boden propaganda campaign has been successful in attracting German families to abandon the city in the interest of seeking a new, more fundamental purpose on the German frontier.";;;;;;;;;;X;
1000682a;The liberation of the German soul will be found in this new soil.;;;;;;;;;;X;
1000683name;Wehrbauer;;;;;;;;;;;
1000683desc;"Wehrbauer, which translates to ""soldier peasant"" in English, is a concept used by the SS that refers to soldiers that are to be designated as the initial settlers of the conquered lands of the east.\n \nSimilar to the medieval Ordensburgen which fortified territory against natives in the Baltics, these soldier peasants would not only serve as the base for Germanization in the east, but provide for their own defense against native uprisings and resistance to the colonization process. These men would primarily be composed of veterans of the SS and given land grants as rewards for their service in the German military.\n \nHitler detailed his vision for the soldier peasant during one of his dinner meetings recorded by Martin Bormann. After twelve years of service, these veterans were to be given equipped and furnished farms in the eastern territories. A heavy focus on agricultural education and an emphasis on raising large families with peasant wives would ensure a strong foundation for the Blut und Boden philosophy to become incorporated into the eastern conquests, ensuring Germanization over the course of a few generations. As Generalplan Ost progresses, these Wehrbauer are critical to the success of our settlement of the east, and every available resource has been allocated to ensuring their prosperity.";;;;;;;;;;X;
1000683a;Only German blood can create German soil.;;;;;;;;;;X;
1000684name;The Ural Mountains;;;;;;;;;;;
1000684desc;"In 1725, geographer Philip Johan von Strahlenberg printed the first recorded designation of the Ural Mountains as the eastern demarcation between Europe and Asia. Adolf Hitler believed that the Urals only formed a geographic designation - it would require the Germanization of the former Russian territories for the Ural Mountains to truly represent the far eastern border of Europe itself, and was the long-term ambition behind the conquest of the USSR.\n \n""The real frontier is the one that separates the Germanic world from the Slav world. It is our duty to place it where we want it to be. If anyone asks where we obtain the right to extend the Germanic space to the east, we reply that, for a nation, its awareness of what it represents carries this right with. It is success that justifies everything. The reply to such questions can only be of an empirical nature. It is inconceivable that a higher people should painfully exist on a soil too narrow for it, while amorphous masses, which contribute nothing to civilization, occupy infinite tracts of a soil that is one of the richest in the world... We must create conditions for our people that favour its multiplication, and we must at the same time build a dike against the Russian flood [...] Since there is no natural protection against such a flood, we must meet it with a living wall. A permanent war on the eastern front will help form a sound race of men, and will prevent us from relapsing into the softness of a Europe thrown back upon itself. It should be possible for us to control this region to the east with two hundred and fifty thousand men plus a cadre of good administrators... This space in Russia must always be dominated by Germans."" - Adolf Hitler";;;;;;;;;;X;
1000684a;Only German blood can create German soil.;;;;;;;;;;X;
1000685name;Operation Charlemagne;;;;;;;;;;;
1000685desc;After the success of Operation Barbarossa, the Third Reich focused its attention toward consolidating control over its conquests west of the Volga River. Meanwhile, the remnant of the USSR held a fragile grip onto its remaining assets in the Ural mountains, Central Asia, and Siberia. Thanks to Stalin's decision to move a large amount of the USSR's heavy industry into the Urals and Siberia, the industrial capacity of the revolutionary state was still enough to sustain what elements of the Red Army were not destroyed by the German blitzkrieg. Though they have been unable to do little but look across the Volga from the east, the Soviets still present a potential threat to the New Order.\n \nYears have passed since the conclusion of the first war against the USSR, and the Third Reich stands stronger than ever. Hitler's dream of expanding Europe's borders to the Urals is still unfulfilled - political practicality and the realities of the challenges presented by Operation Barbarossa prevented this from being attainable during our first peace treaty with the Bolshevik menace. Now is the time to eradicate Bolshevism from the face of the planet, for the protection of Europe and to fulfill the destiny of the Reich!;;;;;;;;;;X;
1000685a;From the Atlantic to the Urals! Forward!;;;;;;;;;;X;
